gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_175926,complete,LFL,2026.0,0.0,1.0,16.03,Red,top,PZG KappaKarma,Periquitos Zangados Gaming,0.0,Jax,Rumble,Yunara,Ryze,Ahri,Nautilus,1749.0,1.0,8.0,0.0,1.0,15.0,5.0,1.0,0.0,0.0,0.0,0.0,0.5146,0.6861,0.0,0.0,9.0,3.0,0.0,30.0,13589.0,9745.0,334.3053,11783.0,270.0,270.0,0.0,9.2624,4180.0,5258.0,80.0,2972.0,4591.0,68.0,1208.0,667.0,12.0,2.0,0.0,0.0,0.0,0.0,2.0,7193.0,10415.0,131.0,4157.0,7093.0,95.0,3036.0,3322.0,36.0,6.0,0.0,0.0,0.0,0.0,5.0,9003.0,13842.0,179.0,6681.0,9786.0,140.0,2322.0,4056.0,39.0,6.0,0.0,0.0,0.0,0.0,5.0,11560.0,18385.0,239.0,9301.0,13243.0,192.0,2259.0,5142.0,47.0,7.0,0.0,0.0,0.0,0.0,5.0
LOLTMNT05_175926,complete,LFL,2026.0,0.0,1.0,16.03,Red,jng,PZG Luckmeow,Periquitos Zangados Gaming,0.0,Wukong,Rumble,Yunara,Ryze,Ahri,Nautilus,1749.0,1.0,0.0,0.0,7.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.5146,0.6861,0.0,0.0,4.0,6.0,3.0,35.0,11010.0,7166.0,245.8319,9383.0,214.0,30.0,184.0,7.3413,3247.0,3602.0,71.0,3389.0,3710.0,69.0,-142.0,-108.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,5016.0,6238.0,111.0,4831.0,5445.0,99.0,185.0,793.0,12.0,0.0,1.0,0.0,0.0,2.0,1.0,6731.0,8447.0,146.0,6758.0,8734.0,150.0,-27.0,-287.0,-4.0,0.0,1.0,0.0,0.0,2.0,1.0,8881.0,11655.0,180.0,8186.0,10799.0,176.0,695.0,856.0,4.0,0.0,3.0,0.0,0.0,3.0,1.0
LOLTMNT05_175926,complete,LFL,2026.0,0.0,1.0,16.03,Red,mid,PZG Furukisu,Periquitos Zangados Gaming,0.0,Sylas,Rumble,Yunara,Ryze,Ahri,Nautilus,1749.0,1.0,6.0,0.0,2.0,15.0,5.0,1.0,1.0,0.0,0.0,0.0,0.5146,0.6861,0.0,0.0,11.0,3.0,3.0,32.0,12108.0,8264.0,283.4991,10325.0,246.0,246.0,0.0,8.4391,3064.0,4904.0,78.0,3145.0,5171.0,74.0,-81.0,-267.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5090.0,8355.0,131.0,4833.0,7845.0,120.0,257.0,510.0,11.0,1.0,0.0,0.0,0.0,0.0,1.0,6874.0,11266.0,184.0,6505.0,10426.0,169.0,369.0,840.0,15.0,1.0,0.0,0.0,0.0,0.0,1.0,9057.0,13774.0,204.0,7606.0,11845.0,189.0,1451.0,1929.0,15.0,3.0,1.0,0.0,0.0,1.0,2.0
LOLTMNT05_175926,complete,LFL,2026.0,0.0,1.0,16.03,Red,bot,PZG Vibzz,Periquitos Zangados Gaming,0.0,Aphelios,Rumble,Yunara,Ryze,Ahri,Nautilus,1749.0,1.0,1.0,4.0,4.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.5146,0.6861,1.0,0.0,8.0,7.0,2.0,28.0,12184.0,8340.0,286.1063,11950.0,243.0,235.0,8.0,8.3362,3003.0,3270.0,70.0,4424.0,3937.0,95.0,-1421.0,-667.0,-25.0,0.0,0.0,2.0,2.0,0.0,0.0,5288.0,5235.0,119.0,7040.0,6118.0,151.0,-1752.0,-883.0,-32.0,0.0,0.0,2.0,2.0,0.0,0.0,7192.0,7449.0,167.0,10249.0,8823.0,218.0,-3057.0,-1374.0,-51.0,0.0,0.0,3.0,3.0,0.0,0.0,9715.0,9919.0,208.0,12466.0,10519.0,254.0,-2751.0,-600.0,-46.0,0.0,2.0,3.0,4.0,0.0,1.0
LOLTMNT05_175926,complete,LFL,2026.0,0.0,1.0,16.03,Red,sup,PZG ALPX,Periquitos Zangados Gaming,0.0,Lulu,Rumble,Yunara,Ryze,Ahri,Nautilus,1749.0,1.0,0.0,1.0,7.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.5146,0.6861,0.0,0.0,42.0,7.0,7.0,87.0,7342.0,3498.0,120.0,5895.0,33.0,33.0,0.0,1.1321,2233.0,2838.0,15.0,2331.0,2596.0,19.0,-98.0,242.0,-4.0,0.0,0.0,0.0,0.0,2.0,0.0,3294.0,4443.0,23.0,3630.0,4212.0,27.0,-336.0,231.0,-4.0,0.0,0.0,0.0,0.0,2.0,0.0,4311.0,5757.0,25.0,5040.0,6377.0,29.0,-729.0,-620.0,-4.0,0.0,0.0,0.0,0.0,3.0,0.0,5990.0,8042.0,31.0,6130.0,7549.0,32.0,-140.0,493.0,-1.0,0.0,3.0,1.0,0.0,4.0,1.0
LOLTMNT05_175926,complete,LFL,2026.0,0.0,1.0,16.03,Red,team,,Periquitos Zangados Gaming,0.0,,Rumble,Yunara,Ryze,Ahri,Nautilus,1749.0,1.0,15.0,5.0,21.0,15.0,5.0,2.0,1.0,0.0,0.0,0.0,0.5146,0.6861,1.0,0.0,74.0,26.0,15.0,212.0,56233.0,37015.0,1269.8113,49336.0,,814.0,192.0,34.5111,15727.0,19872.0,314.0,16261.0,20005.0,325.0,-534.0,-133.0,-11.0,2.0,0.0,2.0,2.0,4.0,2.0,25881.0,34686.0,515.0,24491.0,30713.0,492.0,1390.0,3973.0,23.0,7.0,1.0,2.0,2.0,4.0,7.0,34111.0,46761.0,701.0,35233.0,44146.0,706.0,-1122.0,2615.0,-5.0,7.0,1.0,3.0,3.0,5.0,7.0,45203.0,61775.0,862.0,43689.0,53955.0,843.0,1514.0,7820.0,19.0,10.0,9.0,4.0,4.0,8.0,10.0
LOLTMNT05_176949,complete,NLC,2026.0,0.0,1.0,16.03,Blue,top,PZG KappaKarma,Periquitos Zangados Gaming,1.0,Gragas,Janna,Jayce,Jinx,Vi,Wukong,2465.0,1.0,9.0,3.0,8.0,18.0,13.0,1.0,0.0,0.0,0.0,1.0,0.4381,0.7546,0.0,0.0,15.0,4.0,0.0,37.0,17182.0,11878.0,289.1197,16000.0,317.0,317.0,0.0,7.716,3977.0,5459.0,91.0,3166.0,4870.0,86.0,811.0,589.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,5438.0,8311.0,127.0,4897.0,8206.0,129.0,541.0,105.0,-2.0,1.0,0.0,1.0,0.0,1.0,1.0,7163.0,11395.0,182.0,6678.0,11528.0,187.0,485.0,-133.0,-5.0,1.0,0.0,1.0,0.0,1.0,1.0,8957.0,14767.0,230.0,8713.0,13795.0,221.0,244.0,972.0,9.0,1.0,1.0,1.0,0.0,2.0,2.0
LOLTMNT05_176949,complete,NLC,2026.0,0.0,1.0,16.03,Blue,jng,PZG Luckmeow,Periquitos Zangados Gaming,1.0,Jarvan IV,Janna,Jayce,Jinx,Vi,Wukong,2465.0,1.0,3.0,5.0,11.0,18.0,13.0,1.0,0.0,0.0,0.0,0.0,0.4381,0.7546,2.0,0.0,8.0,16.0,9.0,64.0,15792.0,10488.0,255.286,14225.0,274.0,31.0,243.0,6.6694,3362.0,3738.0,76.0,3539.0,4242.0,80.0,-177.0,-504.0,-4.0,0.0,0.0,1.0,0.0,1.0,0.0,4710.0,5405.0,106.0,5421.0,6403.0,113.0,-711.0,-998.0,-7.0,0.0,0.0,2.0,1.0,2.0,0.0,6337.0,7960.0,145.0,7409.0,9311.0,152.0,-1072.0,-1351.0,-7.0,0.0,0.0,2.0,2.0,2.0,0.0,8570.0,10850.0,184.0,9862.0,12390.0,191.0,-1292.0,-1540.0,-7.0,1.0,0.0,3.0,3.0,3.0,0.0
LOLTMNT05_176949,complete,NLC,2026.0,0.0,1.0,16.03,Blue,mid,PZG Furukisu,Periquitos Zangados Gaming,1.0,Ryze,Janna,Jayce,Jinx,Vi,Wukong,2465.0,1.0,2.0,3.0,9.0,18.0,13.0,1.0,0.0,0.0,0.0,0.0,0.4381,0.7546,0.0,0.0,16.0,3.0,3.0,30.0,17448.0,12144.0,295.5943,17175.0,375.0,351.0,24.0,9.1278,3424.0,4914.0,98.0,3546.0,5035.0,85.0,-122.0,-121.0,13.0,0.0,0.0,1.0,0.0,2.0,0.0,5243.0,7514.0,146.0,5765.0,7751.0,123.0,-522.0,-237.0,23.0,0.0,0.0,1.0,1.0,3.0,0.0,6919.0,10091.0,195.0,8209.0,10795.0,174.0,-1290.0,-704.0,21.0,0.0,0.0,2.0,1.0,4.0,0.0,9052.0,14284.0,245.0,11084.0,13715.0,232.0,-2032.0,569.0,13.0,0.0,1.0,2.0,2.0,4.0,0.0
LOLTMNT05_176949,complete,NLC,2026.0,0.0,1.0,16.03,Blue,bot,PZG Vibzz,Periquitos Zangados Gaming,1.0,Yunara,Janna,Jayce,Jinx,Vi,Wukong,2465.0,1.0,3.0,2.0,8.0,18.0,13.0,0.0,0.0,0.0,0.0,0.0,0.4381,0.7546,0.0,0.0,14.0,6.0,2.0,39.0,20453.0,15149.0,368.7383,18800.0,368.0,362.0,6.0,8.9574,3405.0,3390.0,88.0,3927.0,3377.0,83.0,-522.0,13.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,5258.0,4966.0,121.0,5931.0,5176.0,129.0,-673.0,-210.0,-8.0,0.0,0.0,0.0,2.0,0.0,0.0,7615.0,7432.0,186.0,7654.0,7289.0,178.0,-39.0,143.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,9571.0,9242.0,227.0,10165.0,9757.0,229.0,-594.0,-515.0,-2.0,0.0,0.0,1.0,2.0,0.0,0.0
