gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT04_150134,complete,LEC,2026.0,0.0,1.0,16.01,Blue,top,Bambi,Project Conquerors,1.0,K'Sante,Azir,Ambessa,Rumble,Lulu,Nautilus,1587.0,0.0,0.0,4.0,3.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,0.1512,0.8318,0.0,0.0,12.0,1.0,4.0,33.0,8761.0,5248.0,198.4121,8700.0,222.0,222.0,0.0,8.3932,3383.0,5442.0,95.0,3468.0,5410.0,100.0,-85.0,32.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,5182.0,9103.0,143.0,5386.0,9253.0,160.0,-204.0,-150.0,-17.0,0.0,0.0,0.0,0.0,0.0,0.0,6818.0,12003.0,183.0,7577.0,12512.0,208.0,-759.0,-509.0,-25.0,0.0,1.0,1.0,0.0,1.0,1.0,8497.0,14403.0,221.0,9437.0,16603.0,249.0,-940.0,-2200.0,-28.0,0.0,2.0,3.0,0.0,2.0,1.0
LOLTMNT04_150134,complete,LEC,2026.0,0.0,1.0,16.01,Blue,jng,Frost,Project Conquerors,1.0,Xin Zhao,Azir,Ambessa,Rumble,Lulu,Nautilus,1587.0,0.0,0.0,3.0,3.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,0.1512,0.8318,0.0,1.0,3.0,10.0,1.0,32.0,8601.0,5088.0,192.3629,8225.0,192.0,19.0,173.0,7.259,3577.0,4561.0,86.0,4121.0,4699.0,79.0,-544.0,-138.0,7.0,0.0,0.0,0.0,1.0,2.0,0.0,5007.0,6339.0,117.0,6019.0,6800.0,118.0,-1012.0,-461.0,-1.0,0.0,0.0,1.0,1.0,3.0,0.0,6758.0,8972.0,159.0,9115.0,10051.0,167.0,-2357.0,-1079.0,-8.0,0.0,1.0,1.0,3.0,3.0,0.0,8273.0,11172.0,188.0,12019.0,12991.0,199.0,-3746.0,-1819.0,-11.0,0.0,2.0,2.0,5.0,6.0,0.0
LOLTMNT04_150134,complete,LEC,2026.0,0.0,1.0,16.01,Blue,mid,UniqueCORN,Project Conquerors,1.0,Kog'Maw,Azir,Ambessa,Rumble,Lulu,Nautilus,1587.0,0.0,3.0,4.0,0.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,0.1512,0.8318,0.0,0.0,10.0,4.0,1.0,22.0,9999.0,6486.0,245.2174,9175.0,267.0,267.0,0.0,10.0945,3501.0,4902.0,95.0,4255.0,4917.0,94.0,-754.0,-15.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,5167.0,7593.0,153.0,6277.0,8236.0,159.0,-1110.0,-643.0,-6.0,0.0,0.0,2.0,1.0,3.0,0.0,7311.0,10424.0,207.0,8616.0,11030.0,215.0,-1305.0,-606.0,-8.0,1.0,0.0,2.0,1.0,5.0,0.0,9506.0,13165.0,262.0,10952.0,16313.0,259.0,-1446.0,-3148.0,3.0,2.0,0.0,3.0,3.0,7.0,0.0
LOLTMNT04_150134,complete,LEC,2026.0,0.0,1.0,16.01,Blue,bot,Avarice,Project Conquerors,1.0,Varus,Azir,Ambessa,Rumble,Lulu,Nautilus,1587.0,0.0,1.0,3.0,3.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,0.1512,0.8318,0.0,0.0,7.0,5.0,2.0,16.0,11308.0,7795.0,294.707,10950.0,257.0,257.0,0.0,9.7164,3777.0,3540.0,87.0,4318.0,3803.0,103.0,-541.0,-263.0,-16.0,1.0,0.0,1.0,1.0,0.0,0.0,6044.0,5992.0,138.0,7234.0,6509.0,164.0,-1190.0,-517.0,-26.0,1.0,0.0,1.0,2.0,0.0,0.0,8638.0,9038.0,206.0,9855.0,9400.0,221.0,-1217.0,-362.0,-15.0,1.0,1.0,1.0,2.0,2.0,0.0,10902.0,11016.0,254.0,14183.0,14799.0,294.0,-3281.0,-3783.0,-40.0,1.0,2.0,2.0,5.0,5.0,0.0
LOLTMNT04_150134,complete,LEC,2026.0,0.0,1.0,16.01,Blue,sup,Sunfry,Project Conquerors,1.0,Alistar,Azir,Ambessa,Rumble,Lulu,Nautilus,1587.0,0.0,0.0,4.0,3.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,0.1512,0.8318,0.0,0.0,46.0,15.0,8.0,112.0,5637.0,2124.0,80.3025,5465.0,34.0,34.0,0.0,1.2854,2326.0,3057.0,18.0,2345.0,2860.0,19.0,-19.0,197.0,-1.0,0.0,1.0,0.0,0.0,1.0,1.0,3374.0,3350.0,25.0,3467.0,3620.0,26.0,-93.0,-270.0,-1.0,0.0,1.0,0.0,0.0,2.0,1.0,4404.0,4214.0,30.0,4747.0,4683.0,29.0,-343.0,-469.0,1.0,0.0,2.0,1.0,0.0,4.0,1.0,5366.0,4863.0,33.0,6246.0,6705.0,33.0,-880.0,-1842.0,0.0,0.0,3.0,3.0,0.0,9.0,2.0
LOLTMNT04_150134,complete,LEC,2026.0,0.0,1.0,16.01,Blue,team,,Project Conquerors,1.0,,Azir,Ambessa,Rumble,Lulu,Nautilus,1587.0,0.0,4.0,18.0,12.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,0.1512,0.8318,0.0,1.0,78.0,35.0,16.0,215.0,44306.0,26741.0,1011.0019,42515.0,,799.0,173.0,36.7486,16564.0,21502.0,381.0,18507.0,21689.0,395.0,-1943.0,-187.0,-14.0,1.0,1.0,3.0,3.0,5.0,1.0,24774.0,32377.0,576.0,28383.0,34418.0,627.0,-3609.0,-2041.0,-51.0,1.0,1.0,4.0,4.0,8.0,1.0,33929.0,44651.0,785.0,39910.0,47676.0,840.0,-5981.0,-3025.0,-55.0,2.0,5.0,6.0,6.0,15.0,2.0,42544.0,54619.0,958.0,52837.0,67411.0,1034.0,-10293.0,-12792.0,-76.0,3.0,9.0,13.0,13.0,29.0,3.0
LOLTMNT01_333293,complete,LJL,2026.0,0.0,1.0,16.02,Red,top,Bambi,Project Conquerors,0.0,Dr. Mundo,Zoe,Caitlyn,Varus,Nami,Nautilus,2065.0,1.0,2.0,2.0,3.0,12.0,12.0,0.0,0.0,0.0,0.0,1.0,0.3487,0.6973,0.0,0.0,15.0,7.0,2.0,48.0,15329.0,10841.0,314.9927,13900.0,314.0,306.0,8.0,9.1235,3439.0,5243.0,86.0,3429.0,5059.0,91.0,10.0,184.0,-5.0,0.0,1.0,0.0,0.0,0.0,1.0,5660.0,8653.0,135.0,5344.0,8443.0,128.0,316.0,210.0,7.0,0.0,1.0,1.0,0.0,2.0,1.0,8203.0,11743.0,185.0,7250.0,11335.0,165.0,953.0,408.0,20.0,1.0,1.0,2.0,1.0,3.0,1.0,10359.0,14571.0,237.0,9710.0,13912.0,201.0,649.0,659.0,36.0,1.0,1.0,2.0,2.0,5.0,1.0
LOLTMNT01_333293,complete,LJL,2026.0,0.0,1.0,16.02,Red,jng,Frost,Project Conquerors,0.0,Xin Zhao,Zoe,Caitlyn,Varus,Nami,Nautilus,2065.0,1.0,5.0,4.0,5.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.3487,0.6973,1.0,0.0,6.0,12.0,4.0,41.0,13719.0,9231.0,268.2131,12325.0,242.0,19.0,223.0,7.0315,3934.0,4237.0,76.0,3302.0,3788.0,74.0,632.0,449.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,6838.0,6451.0,110.0,5257.0,6267.0,109.0,1581.0,184.0,1.0,5.0,1.0,1.0,1.0,0.0,2.0,8783.0,8552.0,150.0,7653.0,9927.0,157.0,1130.0,-1375.0,-7.0,5.0,1.0,2.0,2.0,1.0,2.0,10447.0,11130.0,189.0,9162.0,12220.0,186.0,1285.0,-1090.0,3.0,5.0,1.0,4.0,2.0,3.0,2.0
LOLTMNT01_333293,complete,LJL,2026.0,0.0,1.0,16.02,Red,mid,UniqueCORN,Project Conquerors,0.0,Orianna,Zoe,Caitlyn,Varus,Nami,Nautilus,2065.0,1.0,3.0,3.0,4.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.3487,0.6973,0.0,0.0,14.0,5.0,3.0,45.0,13271.0,8783.0,255.1961,11875.0,284.0,284.0,0.0,8.2518,3954.0,5181.0,101.0,3340.0,4952.0,85.0,614.0,229.0,16.0,1.0,0.0,0.0,0.0,0.0,1.0,6107.0,8286.0,157.0,4696.0,7036.0,121.0,1411.0,1250.0,36.0,1.0,3.0,0.0,0.0,1.0,2.0,8746.0,11761.0,207.0,7000.0,9941.0,173.0,1746.0,1820.0,34.0,2.0,3.0,0.0,0.0,5.0,3.0,10044.0,13421.0,240.0,8851.0,12069.0,212.0,1193.0,1352.0,28.0,2.0,3.0,1.0,2.0,6.0,3.0
LOLTMNT01_333293,complete,LJL,2026.0,0.0,1.0,16.02,Red,bot,Avarice,Project Conquerors,0.0,Yunara,Zoe,Caitlyn,Varus,Nami,Nautilus,2065.0,1.0,2.0,1.0,4.0,12.0,12.0,1.0,0.0,0.0,0.0,0.0,0.3487,0.6973,0.0,0.0,10.0,8.0,2.0,27.0,17376.0,12888.0,374.4697,14750.0,335.0,335.0,0.0,9.7337,3748.0,3864.0,100.0,3433.0,3703.0,94.0,315.0,161.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7624.0,6734.0,157.0,6439.0,5562.0,131.0,1185.0,1172.0,26.0,0.0,1.0,0.0,1.0,0.0,1.0,9705.0,8815.0,201.0,9807.0,8398.0,186.0,-102.0,417.0,15.0,0.0,2.0,1.0,3.0,2.0,1.0,11470.0,10942.0,250.0,12031.0,10836.0,235.0,-561.0,106.0,15.0,0.0,2.0,1.0,3.0,5.0,1.0
