gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT04_151436,complete,LIT,2026.0,0.0,1.0,16.02,Blue,top,YellowYoshi,Rising Gaming,1.0,Rumble,Neeko,Orianna,Varus,Ezreal,Lucian,1420.0,1.0,2.0,5.0,8.0,31.0,9.0,0.0,0.0,0.0,0.0,0.0,1.3099,1.6901,0.0,0.0,11.0,3.0,5.0,23.0,10395.0,7223.0,305.1972,9925.0,190.0,190.0,0.0,8.0282,3765.0,4976.0,87.0,3529.0,5001.0,80.0,236.0,-25.0,7.0,0.0,0.0,2.0,1.0,1.0,0.0,5894.0,8167.0,134.0,5182.0,8192.0,121.0,712.0,-25.0,13.0,0.0,2.0,3.0,1.0,2.0,0.0,8143.0,10531.0,161.0,6893.0,10707.0,163.0,1250.0,-176.0,-2.0,1.0,3.0,4.0,1.0,2.0,2.0,,,,,,,,,,,,,,,
LOLTMNT04_151436,complete,LIT,2026.0,0.0,1.0,16.02,Blue,jng,EL,Rising Gaming,1.0,Vi,Neeko,Orianna,Varus,Ezreal,Lucian,1420.0,1.0,6.0,1.0,16.0,31.0,9.0,0.0,0.0,0.0,0.0,1.0,1.3099,1.6901,0.0,0.0,7.0,7.0,7.0,33.0,10627.0,7455.0,315.0,9425.0,147.0,9.0,138.0,6.2113,3786.0,3859.0,72.0,3216.0,3554.0,63.0,570.0,305.0,9.0,1.0,2.0,0.0,0.0,1.0,2.0,5622.0,6540.0,108.0,5717.0,5637.0,84.0,-95.0,903.0,24.0,1.0,5.0,1.0,2.0,3.0,4.0,8659.0,9387.0,134.0,7407.0,7931.0,113.0,1252.0,1456.0,21.0,3.0,11.0,1.0,2.0,3.0,6.0,,,,,,,,,,,,,,,
LOLTMNT04_151436,complete,LIT,2026.0,0.0,1.0,16.02,Blue,mid,Ramune,Rising Gaming,1.0,Taliyah,Neeko,Orianna,Varus,Ezreal,Lucian,1420.0,1.0,6.0,0.0,16.0,31.0,9.0,0.0,0.0,0.0,0.0,0.0,1.3099,1.6901,0.0,0.0,11.0,1.0,4.0,25.0,10622.0,7450.0,314.7887,9250.0,218.0,206.0,12.0,9.2113,3583.0,4928.0,87.0,3607.0,4671.0,88.0,-24.0,257.0,-1.0,1.0,1.0,0.0,1.0,0.0,0.0,5850.0,7777.0,131.0,5883.0,7600.0,142.0,-33.0,177.0,-11.0,3.0,5.0,0.0,2.0,2.0,1.0,8452.0,11339.0,180.0,8299.0,11019.0,202.0,153.0,320.0,-22.0,5.0,10.0,0.0,3.0,2.0,2.0,,,,,,,,,,,,,,,
LOLTMNT04_151436,complete,LIT,2026.0,0.0,1.0,16.02,Blue,bot,Archer,Rising Gaming,1.0,Sivir,Neeko,Orianna,Varus,Ezreal,Lucian,1420.0,1.0,16.0,1.0,12.0,31.0,9.0,5.0,1.0,0.0,0.0,1.0,1.3099,1.6901,0.0,0.0,11.0,6.0,4.0,29.0,17581.0,14409.0,608.831,14975.0,253.0,248.0,5.0,10.6901,4796.0,3991.0,105.0,3204.0,3550.0,83.0,1592.0,441.0,22.0,2.0,2.0,0.0,0.0,0.0,0.0,8954.0,6615.0,150.0,5229.0,5517.0,121.0,3725.0,1098.0,29.0,6.0,4.0,1.0,1.0,2.0,1.0,13583.0,10053.0,207.0,7716.0,7685.0,169.0,5867.0,2368.0,38.0,10.0,8.0,1.0,1.0,2.0,3.0,,,,,,,,,,,,,,,
LOLTMNT04_151436,complete,LIT,2026.0,0.0,1.0,16.02,Blue,sup,Hetel,Rising Gaming,1.0,Rakan,Neeko,Orianna,Varus,Ezreal,Lucian,1420.0,1.0,1.0,2.0,25.0,31.0,9.0,0.0,0.0,0.0,0.0,1.0,1.3099,1.6901,0.0,0.0,34.0,10.0,10.0,83.0,7252.0,4080.0,172.3944,5990.0,18.0,18.0,0.0,0.7606,2613.0,2594.0,8.0,2312.0,2240.0,14.0,301.0,354.0,-6.0,0.0,4.0,0.0,0.0,0.0,2.0,4029.0,3414.0,11.0,3708.0,3463.0,20.0,321.0,-49.0,-9.0,0.0,9.0,1.0,0.0,3.0,4.0,5594.0,5635.0,14.0,4874.0,4297.0,23.0,720.0,1338.0,-9.0,0.0,16.0,1.0,0.0,3.0,6.0,,,,,,,,,,,,,,,
LOLTMNT04_151436,complete,LIT,2026.0,0.0,1.0,16.02,Blue,team,,Rising Gaming,1.0,,Neeko,Orianna,Varus,Ezreal,Lucian,1420.0,1.0,31.0,9.0,77.0,31.0,9.0,5.0,1.0,0.0,0.0,1.0,1.3099,1.6901,0.0,0.0,74.0,27.0,30.0,193.0,56477.0,40615.0,1716.1268,49565.0,,671.0,155.0,34.9014,18543.0,20348.0,359.0,15868.0,19016.0,328.0,2675.0,1332.0,31.0,4.0,9.0,2.0,2.0,2.0,4.0,30349.0,32513.0,534.0,25719.0,30409.0,488.0,4630.0,2104.0,46.0,10.0,25.0,6.0,6.0,12.0,10.0,44431.0,46945.0,696.0,35189.0,41639.0,670.0,9242.0,5306.0,26.0,19.0,48.0,7.0,7.0,12.0,19.0,,,,,,,,,,,,,,,
LOLTMNT01_336352,complete,LCKC,2026.0,0.0,1.0,16.02,Red,top,YellowYoshi,Rising Gaming,0.0,Rumble,Skarner,Ryze,Galio,Neeko,Rakan,1566.0,1.0,7.0,2.0,11.0,42.0,8.0,1.0,0.0,0.0,0.0,0.0,1.6092,1.9157,0.0,0.0,12.0,1.0,5.0,32.0,11772.0,8302.0,318.0843,11125.0,202.0,202.0,0.0,7.7395,3341.0,4882.0,70.0,3563.0,4899.0,78.0,-222.0,-17.0,-8.0,1.0,0.0,2.0,2.0,0.0,1.0,5216.0,8733.0,115.0,5234.0,8186.0,128.0,-18.0,547.0,-13.0,2.0,0.0,2.0,2.0,0.0,2.0,8807.0,13308.0,166.0,6916.0,10231.0,147.0,1891.0,3077.0,19.0,5.0,3.0,2.0,2.0,4.0,5.0,11029.0,16873.0,197.0,8060.0,11728.0,171.0,2969.0,5145.0,26.0,6.0,8.0,2.0,2.0,4.0,6.0
LOLTMNT01_336352,complete,LCKC,2026.0,0.0,1.0,16.02,Red,jng,EL,Rising Gaming,0.0,Jarvan IV,Skarner,Ryze,Galio,Neeko,Rakan,1566.0,1.0,9.0,2.0,27.0,42.0,8.0,1.0,0.0,0.0,0.0,0.0,1.6092,1.9157,1.0,0.0,7.0,3.0,7.0,40.0,13252.0,9782.0,374.7893,11525.0,175.0,8.0,167.0,6.705,3717.0,3962.0,77.0,3253.0,3797.0,72.0,464.0,165.0,5.0,0.0,3.0,1.0,0.0,0.0,1.0,6809.0,7246.0,117.0,4774.0,6042.0,108.0,2035.0,1204.0,9.0,3.0,6.0,1.0,0.0,0.0,3.0,10311.0,10699.0,144.0,6427.0,7897.0,125.0,3884.0,2802.0,19.0,8.0,14.0,2.0,0.0,1.0,6.0,12638.0,13913.0,170.0,7813.0,10377.0,155.0,4825.0,3536.0,15.0,9.0,22.0,2.0,0.0,1.0,8.0
LOLTMNT01_336352,complete,LCKC,2026.0,0.0,1.0,16.02,Red,mid,Ramune,Rising Gaming,0.0,LeBlanc,Skarner,Ryze,Galio,Neeko,Rakan,1566.0,1.0,11.0,3.0,12.0,42.0,8.0,0.0,0.0,0.0,0.0,0.0,1.6092,1.9157,0.0,0.0,4.0,6.0,2.0,23.0,12929.0,9459.0,362.4138,12150.0,218.0,218.0,0.0,8.3525,4952.0,5552.0,104.0,2737.0,3938.0,54.0,2215.0,1614.0,50.0,4.0,0.0,0.0,0.0,0.0,3.0,7457.0,8595.0,152.0,4466.0,6739.0,106.0,2991.0,1856.0,46.0,6.0,2.0,0.0,0.0,0.0,4.0,9523.0,10645.0,178.0,8194.0,9595.0,146.0,1329.0,1050.0,32.0,8.0,6.0,3.0,2.0,2.0,6.0,12269.0,13552.0,212.0,9418.0,11246.0,177.0,2851.0,2306.0,35.0,10.0,9.0,3.0,2.0,2.0,9.0
LOLTMNT01_336352,complete,LCKC,2026.0,0.0,1.0,16.02,Red,bot,Archer,Rising Gaming,0.0,Ezreal,Skarner,Ryze,Galio,Neeko,Rakan,1566.0,1.0,14.0,1.0,13.0,42.0,8.0,3.0,1.0,0.0,0.0,0.0,1.6092,1.9157,0.0,0.0,10.0,5.0,2.0,23.0,17249.0,13779.0,527.931,15433.0,255.0,243.0,12.0,9.7701,3788.0,4228.0,95.0,3744.0,3706.0,83.0,44.0,522.0,12.0,1.0,0.0,0.0,1.0,0.0,1.0,7271.0,7071.0,161.0,6000.0,5442.0,132.0,1271.0,1629.0,29.0,2.0,2.0,0.0,1.0,0.0,3.0,10852.0,9770.0,195.0,8918.0,7648.0,154.0,1934.0,2122.0,41.0,5.0,9.0,1.0,3.0,2.0,6.0,15857.0,13416.0,239.0,10403.0,9664.0,197.0,5454.0,3752.0,42.0,11.0,12.0,1.0,3.0,2.0,8.0
