gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_337590,complete,LCK,2026.0,0.0,1.0,16.01,Red,top,MrTucker,Ruddy Corporation,0.0,Renekton,,,,,,1553.0,0.0,3.0,6.0,0.0,4.0,23.0,0.0,0.0,0.0,0.0,0.0,0.1545,1.0431,0.0,0.0,10.0,1.0,0.0,26.0,8288.0,4844.0,187.1475,8350.0,160.0,158.0,2.0,6.1816,3213.0,4982.0,69.0,3426.0,5224.0,82.0,-213.0,-242.0,-13.0,1.0,0.0,1.0,0.0,1.0,1.0,4981.0,8181.0,100.0,5709.0,9422.0,128.0,-728.0,-1241.0,-28.0,2.0,0.0,3.0,2.0,1.0,2.0,7236.0,11088.0,145.0,7276.0,12043.0,172.0,-40.0,-955.0,-27.0,3.0,0.0,3.0,2.0,1.0,2.0,8179.0,12373.0,160.0,9269.0,15371.0,209.0,-1090.0,-2998.0,-49.0,3.0,0.0,5.0,2.0,2.0,2.0
LOLTMNT03_337590,complete,LCK,2026.0,0.0,1.0,16.01,Red,jng,rohit,Ruddy Corporation,0.0,Udyr,,,,,,1553.0,0.0,0.0,2.0,3.0,4.0,23.0,0.0,0.0,0.0,0.0,0.0,0.1545,1.0431,0.0,1.0,3.0,1.0,2.0,13.0,8572.0,5128.0,198.1198,8400.0,187.0,8.0,179.0,7.2247,3503.0,4406.0,80.0,4133.0,3945.0,69.0,-630.0,461.0,11.0,0.0,1.0,0.0,2.0,2.0,0.0,5288.0,6987.0,118.0,6147.0,6251.0,104.0,-859.0,736.0,14.0,0.0,2.0,0.0,2.0,6.0,0.0,6911.0,9207.0,151.0,7820.0,8322.0,133.0,-909.0,885.0,18.0,0.0,3.0,0.0,2.0,7.0,0.0,8462.0,11395.0,187.0,10185.0,11384.0,158.0,-1723.0,11.0,29.0,0.0,3.0,1.0,3.0,11.0,0.0
LOLTMNT03_337590,complete,LCK,2026.0,0.0,1.0,16.01,Red,mid,krabbypatty,Ruddy Corporation,0.0,Azir,,,,,,1553.0,0.0,0.0,4.0,0.0,4.0,23.0,0.0,0.0,0.0,0.0,0.0,0.1545,1.0431,0.0,0.0,6.0,0.0,0.0,12.0,7958.0,4514.0,174.3979,7050.0,207.0,207.0,0.0,7.9974,2888.0,4746.0,69.0,3916.0,5498.0,85.0,-1028.0,-752.0,-16.0,0.0,0.0,2.0,1.0,1.0,0.0,4403.0,7693.0,112.0,5980.0,8089.0,138.0,-1577.0,-396.0,-26.0,0.0,0.0,2.0,2.0,1.0,0.0,6233.0,10410.0,160.0,7538.0,9861.0,174.0,-1305.0,549.0,-14.0,0.0,0.0,2.0,2.0,1.0,1.0,7812.0,12714.0,205.0,9873.0,13696.0,217.0,-2061.0,-982.0,-12.0,0.0,0.0,3.0,3.0,4.0,1.0
LOLTMNT03_337590,complete,LCK,2026.0,0.0,1.0,16.01,Red,bot,Ranksor,Ruddy Corporation,0.0,Ezreal,,,,,,1553.0,0.0,0.0,3.0,2.0,4.0,23.0,0.0,0.0,0.0,0.0,0.0,0.1545,1.0431,0.0,0.0,5.0,1.0,0.0,8.0,9471.0,6027.0,232.8525,8950.0,222.0,222.0,0.0,8.5769,3318.0,2974.0,77.0,4202.0,3443.0,85.0,-884.0,-469.0,-8.0,0.0,1.0,0.0,3.0,0.0,0.0,5110.0,4778.0,109.0,7114.0,5453.0,133.0,-2004.0,-675.0,-24.0,0.0,1.0,1.0,5.0,1.0,0.0,7338.0,7672.0,168.0,10040.0,8351.0,207.0,-2702.0,-679.0,-39.0,0.0,2.0,1.0,6.0,1.0,0.0,9314.0,9854.0,219.0,14020.0,11593.0,261.0,-4706.0,-1739.0,-42.0,0.0,2.0,2.0,10.0,2.0,0.0
LOLTMNT03_337590,complete,LCK,2026.0,0.0,1.0,16.01,Red,sup,Wasey,Ruddy Corporation,0.0,Neeko,,,,,,1553.0,0.0,1.0,8.0,1.0,4.0,23.0,0.0,0.0,0.0,0.0,0.0,0.1545,1.0431,0.0,0.0,38.0,11.0,10.0,98.0,6222.0,2778.0,107.3278,5925.0,38.0,38.0,0.0,1.4681,2762.0,2806.0,20.0,2601.0,3536.0,27.0,161.0,-730.0,-7.0,1.0,0.0,3.0,0.0,3.0,1.0,3836.0,3902.0,26.0,3973.0,5287.0,30.0,-137.0,-1385.0,-4.0,1.0,0.0,5.0,0.0,6.0,1.0,5000.0,5072.0,31.0,5291.0,6615.0,32.0,-291.0,-1543.0,-1.0,1.0,1.0,6.0,0.0,7.0,1.0,6037.0,6660.0,36.0,7025.0,9716.0,37.0,-988.0,-3056.0,-1.0,1.0,1.0,7.0,0.0,12.0,1.0
LOLTMNT03_337590,complete,LCK,2026.0,0.0,1.0,16.01,Red,team,,Ruddy Corporation,0.0,,,,,,,1553.0,0.0,4.0,23.0,6.0,4.0,23.0,0.0,0.0,0.0,0.0,0.0,0.1545,1.0431,0.0,1.0,62.0,14.0,12.0,157.0,40511.0,23292.0,899.8841,38675.0,,633.0,181.0,31.4488,15684.0,19914.0,315.0,18278.0,21646.0,348.0,-2594.0,-1732.0,-33.0,2.0,2.0,6.0,6.0,7.0,2.0,23618.0,31541.0,465.0,28923.0,34502.0,533.0,-5305.0,-2961.0,-68.0,3.0,3.0,11.0,11.0,15.0,3.0,32718.0,43449.0,655.0,37965.0,45192.0,718.0,-5247.0,-1743.0,-63.0,4.0,6.0,12.0,12.0,17.0,4.0,39804.0,52996.0,807.0,50372.0,61760.0,882.0,-10568.0,-8764.0,-75.0,4.0,6.0,18.0,18.0,31.0,4.0
LOLTMNT03_341047,complete,HLL,2026.0,0.0,1.0,16.01,Blue,top,MrTucker,Ruddy Corporation,0.0,Dr. Mundo,Xin Zhao,Aphelios,Ambessa,Nami,Bard,1316.0,0.0,1.0,3.0,1.0,7.0,26.0,0.0,0.0,0.0,0.0,0.0,0.3191,1.5046,0.0,0.0,2.0,0.0,0.0,1.0,6468.0,3508.0,159.9392,6630.0,136.0,136.0,0.0,6.2006,3463.0,5132.0,65.0,3687.0,5121.0,99.0,-224.0,11.0,-34.0,1.0,0.0,0.0,0.0,0.0,1.0,4779.0,7701.0,97.0,6045.0,8680.0,143.0,-1266.0,-979.0,-46.0,1.0,1.0,2.0,1.0,0.0,1.0,6231.0,10084.0,136.0,8369.0,12072.0,193.0,-2138.0,-1988.0,-57.0,1.0,1.0,2.0,2.0,0.0,1.0,,,,,,,,,,,,,,,
LOLTMNT03_341047,complete,HLL,2026.0,0.0,1.0,16.01,Blue,jng,L1ght,Ruddy Corporation,0.0,Zac,Xin Zhao,Aphelios,Ambessa,Nami,Bard,1316.0,0.0,1.0,4.0,5.0,7.0,26.0,0.0,0.0,0.0,0.0,0.0,0.3191,1.5046,0.0,1.0,3.0,4.0,3.0,17.0,6398.0,3438.0,156.7477,6025.0,81.0,10.0,71.0,3.693,3199.0,3718.0,54.0,3970.0,4022.0,77.0,-771.0,-304.0,-23.0,0.0,2.0,2.0,2.0,1.0,0.0,5168.0,5689.0,72.0,5993.0,6192.0,109.0,-825.0,-503.0,-37.0,1.0,4.0,3.0,5.0,2.0,1.0,5905.0,6539.0,77.0,8048.0,8884.0,146.0,-2143.0,-2345.0,-69.0,1.0,4.0,3.0,5.0,3.0,1.0,,,,,,,,,,,,,,,
LOLTMNT03_341047,complete,HLL,2026.0,0.0,1.0,16.01,Blue,mid,krabbypatty,Ruddy Corporation,0.0,Syndra,Xin Zhao,Aphelios,Ambessa,Nami,Bard,1316.0,0.0,3.0,1.0,2.0,7.0,26.0,0.0,0.0,0.0,0.0,0.0,0.3191,1.5046,0.0,0.0,6.0,2.0,0.0,12.0,7615.0,4655.0,212.234,7550.0,176.0,176.0,0.0,8.0243,3173.0,5047.0,82.0,4068.0,5494.0,106.0,-895.0,-447.0,-24.0,0.0,0.0,0.0,1.0,0.0,0.0,5260.0,7278.0,118.0,5704.0,7476.0,144.0,-444.0,-198.0,-26.0,2.0,1.0,0.0,1.0,1.0,2.0,6795.0,9534.0,159.0,7723.0,10007.0,188.0,-928.0,-473.0,-29.0,2.0,2.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,
LOLTMNT03_341047,complete,HLL,2026.0,0.0,1.0,16.01,Blue,bot,tyb,Ruddy Corporation,0.0,Yunara,Xin Zhao,Aphelios,Ambessa,Nami,Bard,1316.0,0.0,2.0,7.0,0.0,7.0,26.0,0.0,0.0,0.0,0.0,0.0,0.3191,1.5046,0.0,0.0,4.0,4.0,0.0,12.0,7866.0,4906.0,223.6778,7450.0,142.0,140.0,2.0,6.4742,2826.0,2134.0,43.0,5507.0,4077.0,100.0,-2681.0,-1943.0,-57.0,1.0,0.0,4.0,8.0,3.0,1.0,4165.0,4170.0,81.0,10412.0,7023.0,153.0,-6247.0,-2853.0,-72.0,1.0,0.0,6.0,10.0,4.0,1.0,7176.0,6632.0,132.0,13159.0,9367.0,213.0,-5983.0,-2735.0,-81.0,2.0,0.0,6.0,11.0,4.0,2.0,,,,,,,,,,,,,,,
