gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_163332,complete,LEC,2026.0,0.0,1.0,16.01,Blue,top,Wunder,SK Gaming,1.0,Ambessa,Malphite,Azir,Poppy,Nautilus,Renekton,2024.0,0.0,1.0,7.0,6.0,14.0,25.0,0.0,0.0,0.0,0.0,0.0,0.415,1.1561,0.0,0.0,18.0,5.0,3.0,50.0,11625.0,7220.0,214.0316,11575.0,290.0,287.0,3.0,8.5968,3203.0,4764.0,88.0,3690.0,5510.0,96.0,-487.0,-746.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,4363.0,7313.0,122.0,5647.0,8418.0,134.0,-1284.0,-1105.0,-12.0,0.0,0.0,2.0,0.0,1.0,1.0,6442.0,10324.0,165.0,7400.0,11753.0,180.0,-958.0,-1429.0,-15.0,1.0,2.0,3.0,0.0,3.0,1.0,8532.0,14118.0,214.0,8897.0,14343.0,196.0,-365.0,-225.0,18.0,1.0,5.0,4.0,0.0,6.0,3.0
LOLTMNT06_163332,complete,LEC,2026.0,0.0,1.0,16.01,Blue,jng,Skeanz,SK Gaming,1.0,Jayce,Malphite,Azir,Poppy,Nautilus,Renekton,2024.0,0.0,4.0,3.0,6.0,14.0,25.0,0.0,0.0,0.0,0.0,1.0,0.415,1.1561,0.0,2.0,5.0,21.0,3.0,58.0,13432.0,9027.0,267.5988,12795.0,243.0,50.0,193.0,7.2036,4019.0,4286.0,84.0,3876.0,4713.0,84.0,143.0,-427.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6033.0,7343.0,129.0,6491.0,7667.0,124.0,-458.0,-324.0,5.0,1.0,2.0,0.0,3.0,1.0,0.0,8196.0,9806.0,165.0,8199.0,9770.0,156.0,-3.0,36.0,9.0,2.0,5.0,0.0,3.0,2.0,1.0,10995.0,12351.0,205.0,10706.0,12805.0,188.0,289.0,-454.0,17.0,4.0,6.0,1.0,4.0,5.0,2.0
LOLTMNT06_163332,complete,LEC,2026.0,0.0,1.0,16.01,Blue,mid,LIDER,SK Gaming,1.0,Viktor,Malphite,Azir,Poppy,Nautilus,Renekton,2024.0,0.0,6.0,5.0,4.0,14.0,25.0,1.0,0.0,0.0,0.0,0.0,0.415,1.1561,0.0,0.0,15.0,6.0,3.0,33.0,13273.0,8868.0,262.8854,13185.0,261.0,261.0,0.0,7.7372,3202.0,4919.0,85.0,3648.0,5203.0,99.0,-446.0,-284.0,-14.0,0.0,0.0,1.0,0.0,1.0,1.0,5961.0,8011.0,142.0,5679.0,8091.0,154.0,282.0,-80.0,-12.0,2.0,0.0,1.0,0.0,2.0,2.0,8056.0,10316.0,180.0,8097.0,10519.0,198.0,-41.0,-203.0,-18.0,3.0,3.0,1.0,2.0,3.0,3.0,11122.0,12893.0,211.0,11063.0,14396.0,246.0,59.0,-1503.0,-35.0,6.0,4.0,3.0,4.0,8.0,3.0
LOLTMNT06_163332,complete,LEC,2026.0,0.0,1.0,16.01,Blue,bot,Jopa,SK Gaming,1.0,Yunara,Malphite,Azir,Poppy,Nautilus,Renekton,2024.0,0.0,3.0,4.0,2.0,14.0,25.0,0.0,0.0,0.0,0.0,0.0,0.415,1.1561,0.0,0.0,17.0,5.0,7.0,35.0,16385.0,11980.0,355.1383,16450.0,351.0,339.0,12.0,10.4051,3780.0,4302.0,107.0,3467.0,4015.0,96.0,313.0,287.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,6608.0,7016.0,166.0,6563.0,6581.0,144.0,45.0,435.0,22.0,1.0,0.0,1.0,1.0,1.0,1.0,9655.0,10000.0,225.0,9583.0,9440.0,209.0,72.0,560.0,16.0,2.0,1.0,1.0,2.0,2.0,2.0,11998.0,12649.0,278.0,12988.0,12572.0,240.0,-990.0,77.0,38.0,2.0,2.0,2.0,6.0,2.0,3.0
LOLTMNT06_163332,complete,LEC,2026.0,0.0,1.0,16.01,Blue,sup,Mikyx,SK Gaming,1.0,Alistar,Malphite,Azir,Poppy,Nautilus,Renekton,2024.0,0.0,0.0,6.0,11.0,14.0,25.0,0.0,0.0,0.0,0.0,1.0,0.415,1.1561,0.0,0.0,82.0,13.0,12.0,163.0,8508.0,4103.0,121.6304,8570.0,31.0,31.0,0.0,0.919,2531.0,2430.0,15.0,2407.0,2582.0,14.0,124.0,-152.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4106.0,4404.0,22.0,3635.0,3187.0,19.0,471.0,1217.0,3.0,0.0,4.0,0.0,0.0,1.0,0.0,5339.0,5589.0,22.0,5091.0,4929.0,27.0,248.0,660.0,-5.0,0.0,8.0,2.0,0.0,4.0,1.0,6674.0,7317.0,27.0,6758.0,7267.0,32.0,-84.0,50.0,-5.0,0.0,10.0,4.0,0.0,10.0,2.0
LOLTMNT06_163332,complete,LEC,2026.0,0.0,1.0,16.01,Blue,team,,SK Gaming,1.0,,Malphite,Azir,Poppy,Nautilus,Renekton,2024.0,0.0,14.0,25.0,29.0,14.0,25.0,1.0,0.0,0.0,0.0,1.0,0.415,1.1561,0.0,2.0,137.0,50.0,28.0,339.0,63223.0,41200.0,1221.3439,62575.0,,968.0,208.0,34.8617,16735.0,20701.0,379.0,17088.0,22023.0,389.0,-353.0,-1322.0,-10.0,1.0,1.0,1.0,1.0,1.0,1.0,27071.0,34087.0,581.0,28015.0,33944.0,575.0,-944.0,143.0,6.0,4.0,6.0,4.0,4.0,6.0,4.0,37688.0,46035.0,757.0,38370.0,46411.0,770.0,-682.0,-376.0,-13.0,8.0,19.0,7.0,7.0,14.0,8.0,49321.0,59328.0,935.0,50412.0,61383.0,902.0,-1091.0,-2055.0,33.0,13.0,27.0,14.0,14.0,31.0,13.0
LOLTMNT04_147318,complete,TCL,2026.0,0.0,1.0,16.01,Red,top,Wunder,SK Gaming,0.0,Kennen,Rumble,Poppy,Malphite,Azir,Orianna,1692.0,1.0,10.0,1.0,5.0,26.0,10.0,2.0,2.0,0.0,0.0,0.0,0.922,1.2766,0.0,0.0,16.0,6.0,3.0,41.0,14510.0,10783.0,382.3759,14425.0,250.0,246.0,4.0,8.8652,3964.0,5374.0,93.0,2985.0,4436.0,71.0,979.0,938.0,22.0,1.0,0.0,0.0,0.0,0.0,1.0,6388.0,9207.0,146.0,4217.0,7011.0,103.0,2171.0,2196.0,43.0,2.0,0.0,0.0,0.0,0.0,2.0,8669.0,12154.0,196.0,6114.0,9905.0,152.0,2555.0,2249.0,44.0,2.0,1.0,1.0,0.0,1.0,3.0,12083.0,14685.0,220.0,7932.0,12619.0,189.0,4151.0,2066.0,31.0,7.0,5.0,1.0,1.0,4.0,5.0
LOLTMNT04_147318,complete,TCL,2026.0,0.0,1.0,16.01,Red,jng,Skeanz,SK Gaming,0.0,Vi,Rumble,Poppy,Malphite,Azir,Orianna,1692.0,1.0,4.0,3.0,8.0,26.0,10.0,0.0,0.0,0.0,0.0,0.0,0.922,1.2766,1.0,0.0,10.0,2.0,9.0,41.0,11784.0,8057.0,285.7092,11375.0,186.0,2.0,184.0,6.5957,3459.0,3680.0,73.0,3759.0,4465.0,83.0,-300.0,-785.0,-10.0,0.0,1.0,0.0,0.0,2.0,0.0,6041.0,6899.0,117.0,5716.0,6563.0,117.0,325.0,336.0,0.0,2.0,2.0,0.0,1.0,2.0,2.0,8657.0,9973.0,157.0,8171.0,9638.0,157.0,486.0,335.0,0.0,3.0,3.0,0.0,2.0,2.0,3.0,10453.0,12685.0,178.0,9444.0,11484.0,178.0,1009.0,1201.0,0.0,4.0,6.0,2.0,2.0,3.0,6.0
LOLTMNT04_147318,complete,TCL,2026.0,0.0,1.0,16.01,Red,mid,LIDER,SK Gaming,0.0,Ryze,Rumble,Poppy,Malphite,Azir,Orianna,1692.0,1.0,6.0,0.0,12.0,26.0,10.0,0.0,0.0,0.0,0.0,0.0,0.922,1.2766,0.0,0.0,12.0,6.0,2.0,33.0,14727.0,11000.0,390.0709,14400.0,293.0,293.0,0.0,10.3901,3909.0,5557.0,112.0,3366.0,4991.0,95.0,543.0,566.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,6746.0,9062.0,167.0,4854.0,7022.0,133.0,1892.0,2040.0,34.0,0.0,3.0,0.0,0.0,1.0,2.0,9444.0,12156.0,225.0,7292.0,11109.0,211.0,2152.0,1047.0,14.0,1.0,3.0,0.0,0.0,1.0,2.0,12400.0,17151.0,266.0,9712.0,12613.0,229.0,2688.0,4538.0,37.0,4.0,10.0,0.0,2.0,3.0,5.0
LOLTMNT04_147318,complete,TCL,2026.0,0.0,1.0,16.01,Red,bot,Jopa,SK Gaming,0.0,Varus,Rumble,Poppy,Malphite,Azir,Orianna,1692.0,1.0,4.0,2.0,12.0,26.0,10.0,1.0,1.0,0.0,0.0,0.0,0.922,1.2766,0.0,0.0,14.0,9.0,5.0,35.0,15170.0,11443.0,405.7801,13475.0,277.0,273.0,4.0,9.8227,3502.0,3705.0,83.0,4315.0,3488.0,92.0,-813.0,217.0,-9.0,0.0,1.0,2.0,2.0,0.0,0.0,6300.0,6214.0,131.0,6794.0,6042.0,153.0,-494.0,172.0,-22.0,1.0,3.0,2.0,2.0,0.0,0.0,8946.0,9385.0,201.0,9111.0,8673.0,216.0,-165.0,712.0,-15.0,1.0,3.0,2.0,2.0,0.0,0.0,13041.0,13045.0,251.0,11911.0,10669.0,259.0,1130.0,2376.0,-8.0,4.0,9.0,2.0,3.0,3.0,2.0
