gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_164547,complete,AL,2026.0,0.0,1.0,16.01,Red,top,Dionelux,SU Esports,0.0,Shen,Orianna,Jayce,Rumble,Xin Zhao,Jarvan IV,1606.0,0.0,2.0,3.0,2.0,4.0,17.0,0.0,0.0,0.0,0.0,0.0,0.1494,0.7846,0.0,0.0,8.0,4.0,3.0,28.0,10089.0,6537.0,244.2217,10275.0,237.0,237.0,0.0,8.8543,3309.0,5335.0,92.0,3647.0,5282.0,93.0,-338.0,53.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,5150.0,8942.0,143.0,6030.0,9552.0,162.0,-880.0,-610.0,-19.0,0.0,1.0,0.0,0.0,0.0,0.0,7127.0,12085.0,191.0,7930.0,11388.0,191.0,-803.0,697.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,9133.0,14305.0,225.0,9589.0,14564.0,209.0,-456.0,-259.0,16.0,1.0,2.0,2.0,0.0,6.0,0.0
LOLTMNT06_164547,complete,AL,2026.0,0.0,1.0,16.01,Red,jng,XnS,SU Esports,0.0,Ambessa,Orianna,Jayce,Rumble,Xin Zhao,Jarvan IV,1606.0,0.0,2.0,2.0,1.0,4.0,17.0,0.0,0.0,0.0,0.0,0.0,0.1494,0.7846,0.0,1.0,10.0,4.0,8.0,32.0,10523.0,6971.0,260.4359,10400.0,212.0,13.0,199.0,7.9203,3595.0,4438.0,85.0,3754.0,4729.0,91.0,-159.0,-291.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,6142.0,7487.0,133.0,6099.0,6685.0,128.0,43.0,802.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,8520.0,10483.0,176.0,9168.0,10047.0,174.0,-648.0,436.0,2.0,2.0,0.0,0.0,3.0,0.0,1.0,10271.0,12920.0,212.0,12297.0,13239.0,213.0,-2026.0,-319.0,-1.0,2.0,1.0,1.0,5.0,2.0,1.0
LOLTMNT06_164547,complete,AL,2026.0,0.0,1.0,16.01,Red,mid,Fade,SU Esports,0.0,Ryze,Orianna,Jayce,Rumble,Xin Zhao,Jarvan IV,1606.0,0.0,0.0,4.0,1.0,4.0,17.0,0.0,0.0,0.0,0.0,0.0,0.1494,0.7846,0.0,0.0,13.0,4.0,3.0,30.0,8600.0,5048.0,188.5928,8050.0,240.0,240.0,0.0,8.9664,3536.0,5337.0,99.0,3564.0,5208.0,101.0,-28.0,129.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,4964.0,7696.0,143.0,5384.0,7961.0,159.0,-420.0,-265.0,-16.0,0.0,0.0,1.0,0.0,0.0,0.0,6646.0,9940.0,191.0,8047.0,11043.0,213.0,-1401.0,-1103.0,-22.0,0.0,0.0,2.0,0.0,2.0,1.0,8265.0,13836.0,234.0,10476.0,14817.0,262.0,-2211.0,-981.0,-28.0,0.0,1.0,3.0,1.0,6.0,2.0
LOLTMNT06_164547,complete,AL,2026.0,0.0,1.0,16.01,Red,bot,Grave,SU Esports,0.0,Yunara,Orianna,Jayce,Rumble,Xin Zhao,Jarvan IV,1606.0,0.0,0.0,3.0,0.0,4.0,17.0,0.0,0.0,0.0,0.0,0.0,0.1494,0.7846,0.0,0.0,6.0,3.0,1.0,16.0,9589.0,6037.0,225.5417,9525.0,245.0,245.0,0.0,9.1532,3428.0,3551.0,93.0,3723.0,3912.0,102.0,-295.0,-361.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,5447.0,5763.0,139.0,6361.0,6602.0,163.0,-914.0,-839.0,-24.0,0.0,0.0,0.0,0.0,0.0,0.0,7047.0,8369.0,187.0,9197.0,9464.0,229.0,-2150.0,-1095.0,-42.0,0.0,0.0,0.0,0.0,1.0,0.0,9105.0,10528.0,233.0,12724.0,13807.0,281.0,-3619.0,-3279.0,-48.0,0.0,0.0,1.0,4.0,2.0,0.0
LOLTMNT06_164547,complete,AL,2026.0,0.0,1.0,16.01,Red,sup,Carry,SU Esports,0.0,Rell,Orianna,Jayce,Rumble,Xin Zhao,Jarvan IV,1606.0,0.0,0.0,5.0,4.0,4.0,17.0,0.0,0.0,0.0,0.0,0.0,0.1494,0.7846,0.0,0.0,50.0,7.0,14.0,90.0,6075.0,2523.0,94.259,5585.0,29.0,29.0,0.0,1.0834,2265.0,2683.0,19.0,2428.0,2921.0,12.0,-163.0,-238.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3443.0,3909.0,27.0,3870.0,3972.0,23.0,-427.0,-63.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,4479.0,5502.0,28.0,5171.0,4962.0,26.0,-692.0,540.0,2.0,0.0,2.0,1.0,0.0,2.0,0.0,5577.0,5969.0,29.0,6760.0,7589.0,34.0,-1183.0,-1620.0,-5.0,0.0,3.0,3.0,0.0,7.0,0.0
LOLTMNT06_164547,complete,AL,2026.0,0.0,1.0,16.01,Red,team,,SU Esports,0.0,,Orianna,Jayce,Rumble,Xin Zhao,Jarvan IV,1606.0,0.0,4.0,17.0,8.0,4.0,17.0,0.0,0.0,0.0,0.0,0.0,0.1494,0.7846,0.0,1.0,87.0,22.0,29.0,196.0,44876.0,27117.0,1013.0884,43835.0,,764.0,199.0,35.9776,16133.0,21344.0,388.0,17116.0,22052.0,399.0,-983.0,-708.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,25146.0,33797.0,585.0,27744.0,34772.0,635.0,-2598.0,-975.0,-50.0,1.0,2.0,1.0,1.0,1.0,1.0,33819.0,46379.0,773.0,39513.0,46904.0,833.0,-5694.0,-525.0,-60.0,2.0,4.0,3.0,3.0,6.0,2.0,42351.0,57558.0,933.0,51846.0,64016.0,999.0,-9495.0,-6458.0,-66.0,3.0,7.0,10.0,10.0,23.0,3.0
LOLTMNT04_147353,complete,TCL,2026.0,0.0,2.0,16.01,Blue,top,Dionelux,SU Esports,1.0,K'Sante,Neeko,Orianna,Malphite,Taliyah,Aurora,2599.0,0.0,3.0,6.0,7.0,22.0,24.0,0.0,0.0,0.0,0.0,0.0,0.5079,1.0619,0.0,0.0,15.0,5.0,6.0,44.0,14744.0,9166.0,211.6045,14150.0,300.0,298.0,2.0,6.9257,3174.0,4688.0,83.0,3806.0,5348.0,102.0,-632.0,-660.0,-19.0,0.0,0.0,0.0,0.0,0.0,0.0,5175.0,8691.0,136.0,6645.0,8864.0,153.0,-1470.0,-173.0,-17.0,1.0,1.0,0.0,2.0,0.0,0.0,6706.0,10797.0,172.0,8916.0,11703.0,198.0,-2210.0,-906.0,-26.0,1.0,1.0,0.0,3.0,0.0,0.0,8805.0,13018.0,194.0,11858.0,15183.0,256.0,-3053.0,-2165.0,-62.0,3.0,2.0,1.0,4.0,1.0,0.0
LOLTMNT04_147353,complete,TCL,2026.0,0.0,2.0,16.01,Blue,jng,XnS,SU Esports,1.0,Dr. Mundo,Neeko,Orianna,Malphite,Taliyah,Aurora,2599.0,0.0,4.0,5.0,11.0,22.0,24.0,0.0,0.0,0.0,0.0,1.0,0.5079,1.0619,2.0,0.0,9.0,18.0,8.0,67.0,16868.0,11290.0,260.6387,14850.0,305.0,43.0,262.0,7.0412,4437.0,4418.0,77.0,3545.0,4329.0,79.0,892.0,89.0,-2.0,2.0,1.0,1.0,0.0,1.0,2.0,6454.0,6948.0,117.0,5236.0,6701.0,113.0,1218.0,247.0,4.0,3.0,2.0,2.0,0.0,3.0,3.0,7969.0,9461.0,150.0,7613.0,9655.0,159.0,356.0,-194.0,-9.0,3.0,2.0,2.0,0.0,4.0,3.0,10065.0,11906.0,184.0,9513.0,12295.0,202.0,552.0,-389.0,-18.0,4.0,4.0,2.0,0.0,5.0,4.0
LOLTMNT04_147353,complete,TCL,2026.0,0.0,2.0,16.01,Blue,mid,Fade,SU Esports,1.0,Viktor,Neeko,Orianna,Malphite,Taliyah,Aurora,2599.0,0.0,3.0,6.0,14.0,22.0,24.0,1.0,0.0,0.0,0.0,1.0,0.5079,1.0619,0.0,0.0,18.0,8.0,9.0,52.0,18676.0,13098.0,302.3778,18605.0,377.0,369.0,8.0,8.7033,3243.0,4594.0,72.0,4337.0,5116.0,97.0,-1094.0,-522.0,-25.0,0.0,3.0,2.0,3.0,0.0,1.0,4918.0,7140.0,119.0,6335.0,7726.0,144.0,-1417.0,-586.0,-25.0,0.0,6.0,3.0,4.0,2.0,2.0,6911.0,9968.0,175.0,8413.0,10203.0,206.0,-1502.0,-235.0,-31.0,0.0,6.0,4.0,4.0,2.0,2.0,8844.0,12891.0,230.0,9854.0,11548.0,229.0,-1010.0,1343.0,1.0,0.0,9.0,4.0,5.0,2.0,3.0
LOLTMNT04_147353,complete,TCL,2026.0,0.0,2.0,16.01,Blue,bot,Grave,SU Esports,1.0,Varus,Neeko,Orianna,Malphite,Taliyah,Aurora,2599.0,0.0,6.0,4.0,9.0,22.0,24.0,1.0,0.0,0.0,0.0,0.0,0.5079,1.0619,0.0,0.0,12.0,10.0,3.0,33.0,19224.0,13646.0,315.0289,17412.0,350.0,329.0,21.0,8.08,3441.0,3840.0,87.0,3610.0,3807.0,92.0,-169.0,33.0,-5.0,0.0,1.0,0.0,0.0,2.0,0.0,5929.0,6297.0,139.0,6155.0,6572.0,147.0,-226.0,-275.0,-8.0,1.0,2.0,1.0,0.0,5.0,0.0,7942.0,8360.0,190.0,8938.0,9486.0,210.0,-996.0,-1126.0,-20.0,1.0,2.0,1.0,0.0,5.0,0.0,9718.0,10346.0,232.0,10779.0,11716.0,262.0,-1061.0,-1370.0,-30.0,1.0,4.0,1.0,0.0,5.0,1.0
