gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_319633,complete,ROL,2026.0,0.0,1.0,16.01,Red,top,Ilyxøu,Senshi eSports,0.0,Aatrox,Jayce,Yunara,Kai'Sa,Caitlyn,Xayah,1657.0,0.0,6.0,9.0,1.0,12.0,35.0,0.0,0.0,0.0,0.0,0.0,0.4345,1.7019,0.0,0.0,8.0,1.0,1.0,19.0,10247.0,6591.0,238.6602,9850.0,122.0,122.0,0.0,4.4176,2298.0,4002.0,34.0,3900.0,5366.0,89.0,-1602.0,-1364.0,-55.0,0.0,0.0,1.0,1.0,0.0,0.0,4062.0,7083.0,66.0,6962.0,9635.0,134.0,-2900.0,-2552.0,-68.0,1.0,0.0,4.0,4.0,1.0,1.0,7250.0,10163.0,102.0,10159.0,13340.0,168.0,-2909.0,-3177.0,-66.0,3.0,0.0,6.0,8.0,2.0,2.0,9548.0,11752.0,106.0,12416.0,15669.0,190.0,-2868.0,-3917.0,-84.0,6.0,1.0,8.0,11.0,5.0,4.0
LOLTMNT01_319633,complete,ROL,2026.0,0.0,1.0,16.01,Red,jng,Guertas,Senshi eSports,0.0,Ambessa,Jayce,Yunara,Kai'Sa,Caitlyn,Xayah,1657.0,0.0,3.0,7.0,5.0,12.0,35.0,1.0,0.0,0.0,0.0,0.0,0.4345,1.7019,0.0,1.0,4.0,1.0,3.0,18.0,10638.0,6982.0,252.8183,10175.0,159.0,14.0,145.0,5.7574,3062.0,3289.0,62.0,3516.0,4334.0,86.0,-454.0,-1045.0,-24.0,0.0,0.0,0.0,0.0,0.0,0.0,4676.0,5972.0,95.0,6244.0,8246.0,141.0,-1568.0,-2274.0,-46.0,0.0,1.0,2.0,1.0,2.0,0.0,7408.0,8821.0,124.0,9103.0,11359.0,179.0,-1695.0,-2538.0,-55.0,2.0,3.0,3.0,3.0,6.0,1.0,10056.0,11359.0,149.0,11829.0,13821.0,190.0,-1773.0,-2462.0,-41.0,3.0,5.0,6.0,6.0,11.0,2.0
LOLTMNT01_319633,complete,ROL,2026.0,0.0,1.0,16.01,Red,mid,Zuhy,Senshi eSports,0.0,Azir,Jayce,Yunara,Kai'Sa,Caitlyn,Xayah,1657.0,0.0,0.0,7.0,5.0,12.0,35.0,0.0,0.0,0.0,0.0,0.0,0.4345,1.7019,0.0,0.0,11.0,3.0,2.0,27.0,9745.0,6089.0,220.4828,9800.0,261.0,257.0,4.0,9.4508,3452.0,5025.0,99.0,3431.0,5165.0,95.0,21.0,-140.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5045.0,7553.0,151.0,5711.0,8028.0,155.0,-666.0,-475.0,-4.0,0.0,0.0,1.0,1.0,0.0,0.0,7068.0,10315.0,202.0,7962.0,11118.0,208.0,-894.0,-803.0,-6.0,0.0,2.0,4.0,2.0,3.0,1.0,8797.0,12827.0,236.0,11599.0,13962.0,243.0,-2802.0,-1135.0,-7.0,0.0,5.0,6.0,6.0,9.0,1.0
LOLTMNT01_319633,complete,ROL,2026.0,0.0,1.0,16.01,Red,bot,Slyv3r,Senshi eSports,0.0,Corki,Jayce,Yunara,Kai'Sa,Caitlyn,Xayah,1657.0,0.0,3.0,5.0,5.0,12.0,35.0,0.0,0.0,0.0,0.0,0.0,0.4345,1.7019,0.0,0.0,12.0,4.0,5.0,28.0,11622.0,7966.0,288.449,11425.0,217.0,217.0,0.0,7.8576,3905.0,3471.0,87.0,3566.0,3414.0,86.0,339.0,57.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,6170.0,5581.0,137.0,6925.0,6872.0,147.0,-755.0,-1291.0,-10.0,2.0,0.0,1.0,3.0,1.0,1.0,8222.0,8044.0,184.0,10138.0,10039.0,201.0,-1916.0,-1995.0,-17.0,2.0,2.0,3.0,5.0,2.0,1.0,10669.0,10264.0,203.0,12728.0,13282.0,257.0,-2059.0,-3018.0,-54.0,3.0,5.0,5.0,7.0,5.0,2.0
LOLTMNT01_319633,complete,ROL,2026.0,0.0,1.0,16.01,Red,sup,Enkil,Senshi eSports,0.0,Rell,Jayce,Yunara,Kai'Sa,Caitlyn,Xayah,1657.0,0.0,0.0,7.0,7.0,12.0,35.0,0.0,0.0,0.0,0.0,0.0,0.4345,1.7019,0.0,0.0,37.0,15.0,7.0,99.0,7002.0,3346.0,121.1587,6700.0,36.0,36.0,0.0,1.3036,2558.0,2944.0,14.0,2539.0,2737.0,14.0,19.0,207.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,3651.0,4188.0,24.0,3818.0,4392.0,20.0,-167.0,-204.0,4.0,0.0,2.0,2.0,1.0,1.0,1.0,5057.0,5867.0,28.0,5436.0,6221.0,26.0,-379.0,-354.0,2.0,0.0,5.0,3.0,1.0,6.0,2.0,6399.0,6920.0,32.0,7307.0,8274.0,29.0,-908.0,-1354.0,3.0,0.0,7.0,6.0,1.0,13.0,3.0
LOLTMNT01_319633,complete,ROL,2026.0,0.0,1.0,16.01,Red,team,,Senshi eSports,0.0,,Jayce,Yunara,Kai'Sa,Caitlyn,Xayah,1657.0,0.0,12.0,35.0,23.0,12.0,35.0,1.0,0.0,0.0,0.0,0.0,0.4345,1.7019,0.0,1.0,72.0,24.0,18.0,191.0,49254.0,30975.0,1121.6053,47950.0,,646.0,149.0,28.787,15275.0,18731.0,296.0,16952.0,21016.0,370.0,-1677.0,-2285.0,-74.0,2.0,2.0,2.0,2.0,1.0,2.0,23604.0,30377.0,473.0,29660.0,37173.0,597.0,-6056.0,-6796.0,-124.0,3.0,3.0,10.0,10.0,5.0,3.0,35005.0,43210.0,640.0,42798.0,52077.0,782.0,-7793.0,-8867.0,-142.0,7.0,12.0,19.0,19.0,19.0,7.0,45469.0,53122.0,726.0,55879.0,65008.0,909.0,-10410.0,-11886.0,-183.0,12.0,23.0,31.0,31.0,43.0,12.0
LOLTMNT01_319645,complete,ROL,2026.0,0.0,1.0,16.01,Red,top,Ilyxøu,Senshi eSports,0.0,Ornn,Zed,Yunara,Aatrox,Kai'Sa,Caitlyn,2205.0,1.0,1.0,2.0,11.0,14.0,10.0,0.0,0.0,0.0,0.0,1.0,0.381,0.6531,0.0,0.0,13.0,4.0,5.0,37.0,12463.0,7689.0,209.2245,12725.0,271.0,271.0,0.0,7.3741,3309.0,4869.0,65.0,3285.0,4470.0,85.0,24.0,399.0,-20.0,1.0,1.0,1.0,0.0,0.0,1.0,4787.0,8629.0,110.0,4988.0,8580.0,143.0,-201.0,49.0,-33.0,1.0,1.0,1.0,0.0,0.0,1.0,6662.0,12134.0,166.0,6874.0,11861.0,195.0,-212.0,273.0,-29.0,1.0,1.0,1.0,0.0,0.0,1.0,8404.0,15447.0,218.0,9715.0,15353.0,256.0,-1311.0,94.0,-38.0,1.0,1.0,1.0,0.0,0.0,1.0
LOLTMNT01_319645,complete,ROL,2026.0,0.0,1.0,16.01,Red,jng,Guertas,Senshi eSports,0.0,Jarvan IV,Zed,Yunara,Aatrox,Kai'Sa,Caitlyn,2205.0,1.0,0.0,1.0,12.0,14.0,10.0,0.0,0.0,0.0,0.0,0.0,0.381,0.6531,1.0,0.0,3.0,15.0,3.0,53.0,14041.0,9267.0,252.1633,12975.0,298.0,31.0,267.0,8.1088,3296.0,3524.0,70.0,3507.0,3402.0,63.0,-211.0,122.0,7.0,0.0,1.0,1.0,1.0,2.0,1.0,5168.0,6542.0,124.0,5817.0,5928.0,101.0,-649.0,614.0,23.0,0.0,1.0,1.0,3.0,3.0,1.0,6919.0,9038.0,167.0,7413.0,8263.0,138.0,-494.0,775.0,29.0,0.0,1.0,1.0,3.0,3.0,1.0,8565.0,11713.0,204.0,9183.0,10465.0,166.0,-618.0,1248.0,38.0,0.0,1.0,1.0,3.0,3.0,1.0
LOLTMNT01_319645,complete,ROL,2026.0,0.0,1.0,16.01,Red,mid,Zuhy,Senshi eSports,0.0,Syndra,Zed,Yunara,Aatrox,Kai'Sa,Caitlyn,2205.0,1.0,6.0,4.0,4.0,14.0,10.0,1.0,0.0,0.0,0.0,0.0,0.381,0.6531,0.0,0.0,21.0,9.0,8.0,63.0,17919.0,13145.0,357.6871,16900.0,366.0,366.0,0.0,9.9592,3731.0,4894.0,95.0,4070.0,4884.0,90.0,-339.0,10.0,5.0,1.0,0.0,1.0,2.0,0.0,0.0,5598.0,7273.0,143.0,5980.0,7169.0,134.0,-382.0,104.0,9.0,1.0,0.0,3.0,3.0,2.0,0.0,7882.0,10898.0,216.0,7535.0,9564.0,178.0,347.0,1334.0,38.0,1.0,0.0,3.0,3.0,2.0,0.0,10185.0,13823.0,275.0,9550.0,12320.0,231.0,635.0,1503.0,44.0,1.0,0.0,3.0,3.0,2.0,0.0
LOLTMNT01_319645,complete,ROL,2026.0,0.0,1.0,16.01,Red,bot,Slyv3r,Senshi eSports,0.0,Corki,Zed,Yunara,Aatrox,Kai'Sa,Caitlyn,2205.0,1.0,7.0,0.0,5.0,14.0,10.0,1.0,0.0,0.0,0.0,0.0,0.381,0.6531,0.0,0.0,16.0,8.0,7.0,35.0,20511.0,15737.0,428.2177,18025.0,394.0,386.0,8.0,10.7211,3541.0,4039.0,100.0,3453.0,4071.0,99.0,88.0,-32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6083.0,6886.0,166.0,5678.0,6876.0,165.0,405.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8278.0,9691.0,230.0,7817.0,10036.0,231.0,461.0,-345.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,10738.0,12465.0,296.0,10291.0,12917.0,304.0,447.0,-452.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0
