gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT02_356982,complete,LCKC,2026.0,0.0,1.0,16.03,Red,top,Draxo5,TQ DURPA KASLQ,0.0,Vayne,Ryze,Ambessa,Azir,Zoe,Aatrox,1115.0,0.0,1.0,4.0,0.0,5.0,31.0,0.0,0.0,0.0,0.0,1.0,0.2691,1.9372,0.0,0.0,5.0,2.0,0.0,14.0,5790.0,3240.0,174.3498,5600.0,124.0,124.0,0.0,6.6726,3560.0,4691.0,76.0,3354.0,4265.0,69.0,206.0,426.0,7.0,1.0,0.0,1.0,1.0,1.0,1.0,4642.0,6437.0,100.0,5573.0,7836.0,115.0,-931.0,-1399.0,-15.0,1.0,0.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOLTMNT02_356982,complete,LCKC,2026.0,0.0,1.0,16.03,Red,jng,TQD CKSS,TQ DURPA KASLQ,0.0,Hecarim,Ryze,Ambessa,Azir,Zoe,Aatrox,1115.0,0.0,1.0,7.0,1.0,5.0,31.0,0.0,0.0,0.0,0.0,0.0,0.2691,1.9372,0.0,0.0,2.0,2.0,0.0,7.0,6012.0,3462.0,186.296,5550.0,97.0,6.0,91.0,5.2197,3084.0,3267.0,59.0,4671.0,4608.0,83.0,-1587.0,-1341.0,-24.0,0.0,0.0,3.0,2.0,7.0,0.0,4301.0,4952.0,84.0,6911.0,6880.0,109.0,-2610.0,-1928.0,-25.0,0.0,0.0,4.0,4.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOLTMNT02_356982,complete,LCKC,2026.0,0.0,1.0,16.03,Red,mid,TQD Durk0,TQ DURPA KASLQ,0.0,Akali,Ryze,Ambessa,Azir,Zoe,Aatrox,1115.0,0.0,3.0,4.0,0.0,5.0,31.0,1.0,0.0,0.0,0.0,0.0,0.2691,1.9372,0.0,0.0,6.0,0.0,0.0,11.0,7064.0,4514.0,242.9058,5700.0,104.0,104.0,0.0,5.5964,2924.0,4521.0,69.0,4347.0,4914.0,83.0,-1423.0,-393.0,-14.0,0.0,0.0,2.0,3.0,5.0,0.0,5357.0,6804.0,94.0,6699.0,7575.0,128.0,-1342.0,-771.0,-34.0,2.0,0.0,3.0,4.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOLTMNT02_356982,complete,LCKC,2026.0,0.0,1.0,16.03,Red,bot,TQD 1nspir3,TQ DURPA KASLQ,0.0,Miss Fortune,Ryze,Ambessa,Azir,Zoe,Aatrox,1115.0,0.0,0.0,8.0,0.0,5.0,31.0,0.0,0.0,0.0,0.0,0.0,0.2691,1.9372,0.0,0.0,7.0,3.0,0.0,13.0,5888.0,3338.0,179.6233,5675.0,125.0,125.0,0.0,6.7265,2819.0,2899.0,62.0,5218.0,4648.0,100.0,-2399.0,-1749.0,-38.0,0.0,0.0,4.0,6.0,1.0,0.0,4438.0,4724.0,105.0,8743.0,7336.0,159.0,-4305.0,-2612.0,-54.0,0.0,0.0,5.0,9.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOLTMNT02_356982,complete,LCKC,2026.0,0.0,1.0,16.03,Red,sup,TQD floreNNNz,TQ DURPA KASLQ,0.0,Braum,Ryze,Ambessa,Azir,Zoe,Aatrox,1115.0,0.0,0.0,8.0,2.0,5.0,31.0,0.0,0.0,0.0,0.0,0.0,0.2691,1.9372,0.0,0.0,12.0,2.0,1.0,30.0,4075.0,1525.0,82.0628,3625.0,19.0,19.0,0.0,1.0224,2087.0,2072.0,10.0,3235.0,2679.0,12.0,-1148.0,-607.0,-2.0,0.0,0.0,2.0,0.0,11.0,0.0,3163.0,3237.0,18.0,4475.0,3716.0,13.0,-1312.0,-479.0,5.0,0.0,0.0,5.0,0.0,14.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOLTMNT02_356982,complete,LCKC,2026.0,0.0,1.0,16.03,Red,team,,TQ DURPA KASLQ,0.0,,Ryze,Ambessa,Azir,Zoe,Aatrox,1115.0,0.0,5.0,31.0,3.0,5.0,31.0,1.0,0.0,0.0,0.0,1.0,0.2691,1.9372,0.0,0.0,32.0,9.0,1.0,75.0,28829.0,16078.0,865.1839,26150.0,,378.0,91.0,25.2377,14474.0,17450.0,276.0,20825.0,21114.0,347.0,-6351.0,-3664.0,-71.0,1.0,0.0,12.0,12.0,25.0,1.0,21901.0,26154.0,401.0,32401.0,33343.0,524.0,-10500.0,-7189.0,-123.0,3.0,0.0,19.0,19.0,32.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOLTMNT02_357071,complete,LCKC,2026.0,0.0,2.0,16.03,Red,top,Draxo5,TQ DURPA KASLQ,0.0,Tryndamere,Ryze,Ambessa,Azir,LeBlanc,Pantheon,1368.0,0.0,2.0,5.0,3.0,8.0,35.0,0.0,0.0,0.0,0.0,0.0,0.3509,1.886,0.0,0.0,9.0,1.0,0.0,16.0,9738.0,6672.0,292.6316,8575.0,172.0,172.0,0.0,7.5439,3729.0,5036.0,72.0,3434.0,4859.0,76.0,295.0,177.0,-4.0,1.0,0.0,1.0,1.0,0.0,1.0,5433.0,7959.0,113.0,5701.0,7373.0,121.0,-268.0,586.0,-8.0,1.0,0.0,2.0,4.0,1.0,1.0,8880.0,11088.0,158.0,7829.0,10918.0,158.0,1051.0,170.0,0.0,2.0,3.0,4.0,5.0,2.0,2.0,,,,,,,,,,,,,,,
LOLTMNT02_357071,complete,LCKC,2026.0,0.0,2.0,16.03,Red,jng,TQD CKSS,TQ DURPA KASLQ,0.0,Nidalee,Ryze,Ambessa,Azir,LeBlanc,Pantheon,1368.0,0.0,2.0,8.0,3.0,8.0,35.0,0.0,0.0,0.0,0.0,0.0,0.3509,1.886,0.0,1.0,9.0,2.0,0.0,20.0,9638.0,6572.0,288.2456,8450.0,142.0,5.0,137.0,6.2281,3390.0,3863.0,74.0,3833.0,3696.0,62.0,-443.0,167.0,12.0,0.0,0.0,2.0,1.0,3.0,0.0,5844.0,5977.0,110.0,6500.0,6809.0,92.0,-656.0,-832.0,18.0,1.0,0.0,4.0,2.0,13.0,1.0,7869.0,7835.0,132.0,9164.0,10199.0,128.0,-1295.0,-2364.0,4.0,1.0,3.0,6.0,2.0,19.0,2.0,,,,,,,,,,,,,,,
LOLTMNT02_357071,complete,LCKC,2026.0,0.0,2.0,16.03,Red,mid,TQD Durk0,TQ DURPA KASLQ,0.0,Irelia,Ryze,Ambessa,Azir,LeBlanc,Pantheon,1368.0,0.0,3.0,8.0,2.0,8.0,35.0,1.0,0.0,0.0,0.0,0.0,0.3509,1.886,0.0,0.0,6.0,4.0,0.0,17.0,9290.0,6224.0,272.9825,8950.0,194.0,194.0,0.0,8.5088,4085.0,5346.0,92.0,4394.0,4881.0,88.0,-309.0,465.0,4.0,1.0,0.0,2.0,3.0,0.0,1.0,5662.0,7371.0,135.0,6647.0,6804.0,117.0,-985.0,567.0,18.0,1.0,1.0,4.0,5.0,5.0,1.0,8427.0,9972.0,175.0,9421.0,10615.0,156.0,-994.0,-643.0,19.0,3.0,2.0,7.0,7.0,11.0,1.0,,,,,,,,,,,,,,,
LOLTMNT02_357071,complete,LCKC,2026.0,0.0,2.0,16.03,Red,bot,TQD 1nspir3,TQ DURPA KASLQ,0.0,Jhin,Ryze,Ambessa,Azir,LeBlanc,Pantheon,1368.0,0.0,0.0,7.0,1.0,8.0,35.0,0.0,0.0,0.0,0.0,0.0,0.3509,1.886,0.0,0.0,7.0,3.0,0.0,16.0,7384.0,4318.0,189.386,6175.0,148.0,148.0,0.0,6.4912,2979.0,2987.0,65.0,3674.0,3740.0,99.0,-695.0,-753.0,-34.0,0.0,0.0,0.0,0.0,1.0,0.0,4316.0,5072.0,102.0,7872.0,6840.0,153.0,-3556.0,-1768.0,-51.0,0.0,0.0,2.0,3.0,4.0,0.0,6435.0,7231.0,136.0,12270.0,9902.0,199.0,-5835.0,-2671.0,-63.0,0.0,0.0,5.0,8.0,6.0,1.0,,,,,,,,,,,,,,,
