gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_176905,complete,LFL,2026.0,0.0,1.0,16.03,Blue,top,Mihile,Team Heretics Academy,1.0,K'Sante,Jarvan IV,Vi,Nami,Lulu,Syndra,1774.0,1.0,2.0,0.0,6.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.4735,0.6426,0.0,0.0,13.0,5.0,4.0,40.0,12443.0,8548.0,289.1094,11150.0,292.0,291.0,1.0,9.876,3579.0,5255.0,98.0,3452.0,5100.0,84.0,127.0,155.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,5479.0,8850.0,154.0,5579.0,9136.0,144.0,-100.0,-286.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,7876.0,12823.0,227.0,7270.0,11991.0,190.0,606.0,832.0,37.0,0.0,0.0,0.0,0.0,1.0,0.0,9803.0,15724.0,257.0,8616.0,13306.0,209.0,1187.0,2418.0,48.0,1.0,3.0,0.0,0.0,1.0,2.0
LOLTMNT05_176905,complete,LFL,2026.0,0.0,1.0,16.03,Blue,jng,Daglas,Team Heretics Academy,1.0,Pantheon,Jarvan IV,Vi,Nami,Lulu,Syndra,1774.0,1.0,2.0,1.0,5.0,14.0,5.0,0.0,0.0,0.0,0.0,1.0,0.4735,0.6426,0.0,0.0,10.0,11.0,7.0,51.0,11474.0,7579.0,256.336,9125.0,232.0,19.0,213.0,7.8467,3792.0,4596.0,92.0,3312.0,3855.0,73.0,480.0,741.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,5818.0,6883.0,132.0,4880.0,6117.0,108.0,938.0,766.0,24.0,1.0,1.0,0.0,0.0,1.0,0.0,7646.0,9340.0,173.0,6871.0,8156.0,144.0,775.0,1184.0,29.0,1.0,1.0,0.0,1.0,1.0,0.0,9046.0,11095.0,202.0,8427.0,10318.0,176.0,619.0,777.0,26.0,1.0,1.0,1.0,1.0,2.0,0.0
LOLTMNT05_176905,complete,LFL,2026.0,0.0,1.0,16.03,Blue,mid,Mercy9,Team Heretics Academy,1.0,Orianna,Jarvan IV,Vi,Nami,Lulu,Syndra,1774.0,1.0,2.0,2.0,3.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.4735,0.6426,0.0,0.0,10.0,2.0,3.0,29.0,12980.0,9085.0,307.2717,12975.0,308.0,300.0,8.0,10.4171,3815.0,5334.0,108.0,3387.0,5196.0,93.0,428.0,138.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,5897.0,7829.0,164.0,5367.0,7996.0,138.0,530.0,-167.0,26.0,0.0,0.0,1.0,1.0,0.0,0.0,7721.0,10124.0,213.0,7526.0,11289.0,203.0,195.0,-1165.0,10.0,0.0,0.0,1.0,1.0,1.0,0.0,10469.0,13311.0,270.0,9995.0,13895.0,250.0,474.0,-584.0,20.0,1.0,1.0,1.0,2.0,1.0,1.0
LOLTMNT05_176905,complete,LFL,2026.0,0.0,1.0,16.03,Blue,bot,Lure,Team Heretics Academy,1.0,Kai'Sa,Jarvan IV,Vi,Nami,Lulu,Syndra,1774.0,1.0,8.0,0.0,5.0,14.0,5.0,1.0,1.0,0.0,0.0,1.0,0.4735,0.6426,0.0,0.0,13.0,8.0,5.0,38.0,17868.0,13973.0,472.593,15500.0,302.0,294.0,8.0,10.2142,3744.0,3881.0,90.0,3206.0,3073.0,78.0,538.0,808.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,7438.0,6970.0,141.0,5628.0,5437.0,125.0,1810.0,1533.0,16.0,2.0,1.0,0.0,0.0,0.0,2.0,9992.0,9960.0,209.0,7814.0,8179.0,182.0,2178.0,1781.0,27.0,2.0,1.0,0.0,0.0,1.0,2.0,13795.0,13165.0,257.0,10044.0,10589.0,236.0,3751.0,2576.0,21.0,5.0,2.0,0.0,0.0,2.0,3.0
LOLTMNT05_176905,complete,LFL,2026.0,0.0,1.0,16.03,Blue,sup,Batuuu,Team Heretics Academy,1.0,Neeko,Jarvan IV,Vi,Nami,Lulu,Syndra,1774.0,1.0,0.0,2.0,10.0,14.0,5.0,0.0,0.0,0.0,0.0,1.0,0.4735,0.6426,0.0,0.0,52.0,23.0,10.0,131.0,7909.0,4014.0,135.761,7390.0,34.0,34.0,0.0,1.1499,2399.0,2496.0,11.0,2189.0,2824.0,20.0,210.0,-328.0,-9.0,0.0,1.0,0.0,0.0,0.0,1.0,3618.0,3026.0,18.0,3403.0,3533.0,29.0,215.0,-507.0,-11.0,0.0,1.0,0.0,0.0,1.0,1.0,4872.0,3637.0,24.0,4664.0,4271.0,33.0,208.0,-634.0,-9.0,0.0,1.0,1.0,0.0,2.0,1.0,6487.0,5584.0,32.0,5693.0,5777.0,34.0,794.0,-193.0,-2.0,0.0,5.0,1.0,0.0,3.0,2.0
LOLTMNT05_176905,complete,LFL,2026.0,0.0,1.0,16.03,Blue,team,,Team Heretics Academy,1.0,,Jarvan IV,Vi,Nami,Lulu,Syndra,1774.0,1.0,14.0,5.0,29.0,14.0,5.0,1.0,1.0,0.0,0.0,1.0,0.4735,0.6426,0.0,0.0,98.0,49.0,29.0,289.0,62674.0,43201.0,1461.1387,56140.0,,938.0,230.0,39.5039,17329.0,21562.0,399.0,15546.0,20048.0,348.0,1783.0,1514.0,51.0,1.0,2.0,0.0,0.0,0.0,1.0,28250.0,33558.0,609.0,24857.0,32219.0,544.0,3393.0,1339.0,65.0,3.0,3.0,1.0,1.0,3.0,3.0,38107.0,45884.0,846.0,34145.0,43886.0,752.0,3962.0,1998.0,94.0,3.0,3.0,2.0,2.0,6.0,3.0,49600.0,58879.0,1018.0,42775.0,53885.0,905.0,6825.0,4994.0,113.0,8.0,12.0,3.0,3.0,9.0,8.0
LOLTMNT02_355553,complete,HW,2026.0,0.0,1.0,16.03,Blue,top,Mihile,Team Heretics Academy,1.0,Ornn,Jarvan IV,Vi,Caitlyn,Nautilus,Neeko,1944.0,1.0,2.0,2.0,9.0,24.0,13.0,0.0,0.0,0.0,0.0,0.0,0.7407,1.142,0.0,0.0,13.0,7.0,5.0,42.0,13704.0,9463.0,292.0679,13575.0,287.0,287.0,0.0,8.858,3322.0,4883.0,89.0,3508.0,4884.0,84.0,-186.0,-1.0,5.0,0.0,0.0,1.0,0.0,1.0,1.0,5144.0,8375.0,141.0,5220.0,8660.0,141.0,-76.0,-285.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,8097.0,12465.0,204.0,7801.0,11707.0,185.0,296.0,758.0,19.0,1.0,0.0,1.0,2.0,1.0,2.0,10103.0,15936.0,238.0,9427.0,14838.0,229.0,676.0,1098.0,9.0,1.0,4.0,1.0,2.0,2.0,3.0
LOLTMNT02_355553,complete,HW,2026.0,0.0,1.0,16.03,Blue,jng,Daglas,Team Heretics Academy,1.0,Dr. Mundo,Jarvan IV,Vi,Caitlyn,Nautilus,Neeko,1944.0,1.0,2.0,1.0,17.0,24.0,13.0,0.0,0.0,0.0,0.0,0.0,0.7407,1.142,2.0,0.0,9.0,10.0,6.0,58.0,14258.0,10017.0,309.1667,12350.0,264.0,18.0,246.0,8.1481,3967.0,4473.0,88.0,3831.0,3469.0,62.0,136.0,1004.0,26.0,1.0,0.0,0.0,2.0,0.0,0.0,6150.0,7628.0,136.0,5237.0,5292.0,88.0,913.0,2336.0,48.0,1.0,4.0,0.0,2.0,1.0,2.0,7854.0,9967.0,173.0,7069.0,8625.0,129.0,785.0,1342.0,44.0,1.0,4.0,1.0,2.0,3.0,2.0,10280.0,13531.0,214.0,9542.0,11346.0,166.0,738.0,2185.0,48.0,1.0,8.0,1.0,3.0,3.0,3.0
LOLTMNT02_355553,complete,HW,2026.0,0.0,1.0,16.03,Blue,mid,Mercy9,Team Heretics Academy,1.0,Ryze,Jarvan IV,Vi,Caitlyn,Nautilus,Neeko,1944.0,1.0,13.0,2.0,4.0,24.0,13.0,3.0,2.0,0.0,0.0,0.0,0.7407,1.142,0.0,0.0,12.0,6.0,3.0,43.0,17506.0,13265.0,409.4136,15175.0,329.0,325.0,4.0,10.1543,3916.0,5608.0,93.0,3321.0,4710.0,83.0,595.0,898.0,10.0,1.0,1.0,0.0,0.0,0.0,1.0,5667.0,8567.0,148.0,4692.0,6936.0,119.0,975.0,1631.0,29.0,1.0,3.0,1.0,0.0,1.0,2.0,8189.0,13679.0,221.0,7016.0,10176.0,177.0,1173.0,3503.0,44.0,1.0,3.0,1.0,1.0,1.0,2.0,11587.0,17999.0,272.0,8577.0,12915.0,220.0,3010.0,5084.0,52.0,5.0,3.0,2.0,1.0,2.0,3.0
LOLTMNT02_355553,complete,HW,2026.0,0.0,1.0,16.03,Blue,bot,Lure,Team Heretics Academy,1.0,Yunara,Jarvan IV,Vi,Caitlyn,Nautilus,Neeko,1944.0,1.0,4.0,7.0,11.0,24.0,13.0,1.0,0.0,0.0,0.0,0.0,0.7407,1.142,0.0,0.0,15.0,4.0,8.0,33.0,15350.0,11109.0,342.8704,15300.0,256.0,244.0,12.0,7.9012,3357.0,3456.0,71.0,3711.0,4309.0,87.0,-354.0,-853.0,-16.0,0.0,1.0,2.0,1.0,1.0,0.0,6692.0,6239.0,116.0,6514.0,6694.0,136.0,178.0,-455.0,-20.0,3.0,2.0,2.0,2.0,1.0,0.0,8789.0,8834.0,168.0,9678.0,9875.0,203.0,-889.0,-1041.0,-35.0,3.0,2.0,3.0,2.0,4.0,0.0,11456.0,11855.0,209.0,12326.0,12556.0,260.0,-870.0,-701.0,-51.0,3.0,6.0,4.0,3.0,5.0,1.0
