gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_175872,complete,PRM,2026.0,0.0,1.0,16.03,Red,top,Skiller99,UB Alma Mater,0.0,Galio,Orianna,Ryze,Varus,Nautilus,Rell,1656.0,0.0,0.0,3.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0362,0.6159,0.0,0.0,11.0,0.0,2.0,21.0,7964.0,4310.0,156.1594,8000.0,222.0,222.0,0.0,8.0435,3044.0,5193.0,76.0,3681.0,5348.0,104.0,-637.0,-155.0,-28.0,0.0,0.0,0.0,0.0,0.0,0.0,4311.0,8685.0,113.0,5526.0,9365.0,159.0,-1215.0,-680.0,-46.0,0.0,0.0,0.0,0.0,0.0,0.0,6099.0,12017.0,172.0,7647.0,12992.0,218.0,-1548.0,-975.0,-46.0,0.0,0.0,0.0,0.0,1.0,0.0,7505.0,14670.0,213.0,10044.0,16162.0,248.0,-2539.0,-1492.0,-35.0,0.0,0.0,1.0,2.0,1.0,0.0
LOLTMNT05_175872,complete,PRM,2026.0,0.0,1.0,16.03,Red,jng,Ivama,UB Alma Mater,0.0,Xin Zhao,Orianna,Ryze,Varus,Nautilus,Rell,1656.0,0.0,0.0,3.0,1.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0362,0.6159,0.0,1.0,6.0,8.0,4.0,43.0,8803.0,5149.0,186.558,8500.0,192.0,11.0,181.0,6.9565,3516.0,4103.0,81.0,3455.0,4347.0,83.0,61.0,-244.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,5242.0,6512.0,125.0,5582.0,7078.0,122.0,-340.0,-566.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,6875.0,8894.0,163.0,8235.0,9992.0,167.0,-1360.0,-1098.0,-4.0,0.0,0.0,1.0,3.0,2.0,0.0,8216.0,10763.0,182.0,10377.0,12873.0,202.0,-2161.0,-2110.0,-20.0,0.0,1.0,2.0,3.0,3.0,0.0
LOLTMNT05_175872,complete,PRM,2026.0,0.0,1.0,16.03,Red,mid,Pauporter,UB Alma Mater,0.0,Hwei,Orianna,Ryze,Varus,Nautilus,Rell,1656.0,0.0,1.0,3.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0362,0.6159,0.0,0.0,13.0,2.0,4.0,21.0,9224.0,5570.0,201.8116,8600.0,230.0,230.0,0.0,8.3333,3171.0,5055.0,79.0,3387.0,5078.0,99.0,-216.0,-23.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,4552.0,7182.0,118.0,6008.0,8564.0,159.0,-1456.0,-1382.0,-41.0,0.0,0.0,2.0,1.0,1.0,0.0,6355.0,10144.0,176.0,8334.0,11831.0,216.0,-1979.0,-1687.0,-40.0,0.0,0.0,2.0,2.0,1.0,0.0,8329.0,12589.0,214.0,11284.0,15489.0,270.0,-2955.0,-2900.0,-56.0,1.0,0.0,2.0,3.0,2.0,0.0
LOLTMNT05_175872,complete,PRM,2026.0,0.0,1.0,16.03,Red,bot,adrianlaneitor,UB Alma Mater,0.0,Corki,Orianna,Ryze,Varus,Nautilus,Rell,1656.0,0.0,0.0,3.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0362,0.6159,0.0,0.0,9.0,1.0,2.0,11.0,10129.0,6475.0,234.6014,10008.0,260.0,260.0,0.0,9.4203,3153.0,2964.0,73.0,3959.0,3910.0,99.0,-806.0,-946.0,-26.0,0.0,0.0,1.0,1.0,0.0,0.0,5212.0,5046.0,119.0,6294.0,6155.0,154.0,-1082.0,-1109.0,-35.0,0.0,0.0,2.0,2.0,0.0,0.0,7197.0,8132.0,181.0,9030.0,9509.0,221.0,-1833.0,-1377.0,-40.0,0.0,0.0,2.0,2.0,2.0,0.0,9217.0,10331.0,233.0,11167.0,12212.0,265.0,-1950.0,-1881.0,-32.0,0.0,0.0,2.0,2.0,3.0,0.0
LOLTMNT05_175872,complete,PRM,2026.0,0.0,1.0,16.03,Red,sup,Simpy,UB Alma Mater,0.0,Karma,Orianna,Ryze,Varus,Nautilus,Rell,1656.0,0.0,0.0,4.0,1.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0362,0.6159,0.0,0.0,43.0,25.0,10.0,128.0,6663.0,3009.0,109.0217,6300.0,57.0,57.0,0.0,2.0652,2551.0,3329.0,24.0,2700.0,3040.0,14.0,-149.0,289.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,3722.0,4332.0,35.0,3811.0,4271.0,17.0,-89.0,61.0,18.0,0.0,0.0,0.0,0.0,2.0,0.0,4854.0,4700.0,43.0,5525.0,5188.0,24.0,-671.0,-488.0,19.0,0.0,0.0,2.0,0.0,4.0,0.0,6083.0,6389.0,51.0,7112.0,6793.0,27.0,-1029.0,-404.0,24.0,0.0,1.0,3.0,0.0,5.0,1.0
LOLTMNT05_175872,complete,PRM,2026.0,0.0,1.0,16.03,Red,team,,UB Alma Mater,0.0,,Orianna,Ryze,Varus,Nautilus,Rell,1656.0,0.0,1.0,16.0,2.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0362,0.6159,0.0,1.0,82.0,36.0,22.0,224.0,42783.0,24514.0,888.1884,41408.0,,780.0,181.0,34.8188,15435.0,20644.0,333.0,17182.0,21723.0,399.0,-1747.0,-1079.0,-66.0,0.0,0.0,1.0,1.0,1.0,0.0,23039.0,31757.0,510.0,27221.0,35433.0,611.0,-4182.0,-3676.0,-101.0,0.0,0.0,4.0,4.0,4.0,0.0,31380.0,43887.0,735.0,38771.0,49512.0,846.0,-7391.0,-5625.0,-111.0,0.0,0.0,7.0,7.0,10.0,0.0,39350.0,54742.0,893.0,49984.0,63529.0,1012.0,-10634.0,-8787.0,-119.0,1.0,2.0,10.0,10.0,14.0,1.0
LOLTMNT02_356609,complete,LCK,2026.0,0.0,1.0,16.03,Blue,top,Skiller99,UB Alma Mater,1.0,Sion,Kindred,Anivia,Rumble,Lillia,Diana,2064.0,1.0,3.0,3.0,15.0,26.0,15.0,0.0,0.0,0.0,0.0,0.0,0.7558,1.1919,0.0,0.0,18.0,2.0,3.0,38.0,13328.0,8842.0,257.0349,12075.0,222.0,222.0,0.0,6.4535,3057.0,4428.0,52.0,3643.0,4649.0,78.0,-586.0,-221.0,-26.0,1.0,1.0,2.0,1.0,1.0,1.0,4534.0,8384.0,91.0,5744.0,8532.0,143.0,-1210.0,-148.0,-52.0,1.0,2.0,2.0,1.0,1.0,2.0,6498.0,11406.0,137.0,7608.0,10462.0,176.0,-1110.0,944.0,-39.0,1.0,3.0,3.0,1.0,1.0,3.0,8465.0,14889.0,177.0,9020.0,12680.0,208.0,-555.0,2209.0,-31.0,2.0,6.0,3.0,1.0,3.0,5.0
LOLTMNT02_356609,complete,LCK,2026.0,0.0,1.0,16.03,Blue,jng,Ivama,UB Alma Mater,1.0,Wukong,Kindred,Anivia,Rumble,Lillia,Diana,2064.0,1.0,10.0,2.0,14.0,26.0,15.0,2.0,1.0,0.0,0.0,0.0,0.7558,1.1919,1.0,0.0,3.0,8.0,1.0,34.0,17125.0,12639.0,367.4128,15408.0,265.0,14.0,251.0,7.7035,3816.0,4075.0,76.0,3963.0,4412.0,84.0,-147.0,-337.0,-8.0,1.0,2.0,1.0,1.0,1.0,0.0,6080.0,6734.0,123.0,5737.0,7090.0,130.0,343.0,-356.0,-7.0,2.0,3.0,1.0,1.0,1.0,1.0,8368.0,9937.0,170.0,8377.0,10410.0,163.0,-9.0,-473.0,7.0,3.0,4.0,1.0,3.0,3.0,1.0,11077.0,13186.0,205.0,9999.0,12637.0,192.0,1078.0,549.0,13.0,6.0,7.0,2.0,3.0,5.0,2.0
LOLTMNT02_356609,complete,LCK,2026.0,0.0,1.0,16.03,Blue,mid,Pauporter,UB Alma Mater,1.0,Syndra,Kindred,Anivia,Rumble,Lillia,Diana,2064.0,1.0,5.0,2.0,13.0,26.0,15.0,1.0,0.0,0.0,0.0,0.0,0.7558,1.1919,0.0,0.0,15.0,3.0,5.0,37.0,14154.0,9668.0,281.0465,13225.0,246.0,246.0,0.0,7.1512,3520.0,5070.0,80.0,3307.0,4633.0,76.0,213.0,437.0,4.0,1.0,1.0,0.0,0.0,2.0,1.0,5317.0,7651.0,122.0,4806.0,7482.0,116.0,511.0,169.0,6.0,1.0,2.0,0.0,0.0,2.0,1.0,6683.0,9792.0,153.0,7763.0,10625.0,174.0,-1080.0,-833.0,-21.0,1.0,3.0,1.0,1.0,2.0,1.0,9572.0,12561.0,201.0,9892.0,13207.0,219.0,-320.0,-646.0,-18.0,2.0,7.0,1.0,2.0,3.0,2.0
LOLTMNT02_356609,complete,LCK,2026.0,0.0,1.0,16.03,Blue,bot,adrianlaneitor,UB Alma Mater,1.0,Corki,Kindred,Anivia,Rumble,Lillia,Diana,2064.0,1.0,7.0,4.0,9.0,26.0,15.0,1.0,0.0,0.0,0.0,0.0,0.7558,1.1919,0.0,0.0,11.0,6.0,3.0,36.0,17221.0,12735.0,370.2035,16738.0,291.0,291.0,0.0,8.4593,3618.0,4203.0,99.0,3888.0,4417.0,104.0,-270.0,-214.0,-5.0,0.0,0.0,0.0,1.0,0.0,0.0,6130.0,6355.0,155.0,6452.0,6866.0,164.0,-322.0,-511.0,-9.0,1.0,1.0,0.0,1.0,0.0,0.0,8930.0,8578.0,198.0,9463.0,9769.0,224.0,-533.0,-1191.0,-26.0,2.0,2.0,1.0,2.0,1.0,1.0,11606.0,11042.0,246.0,12186.0,12202.0,279.0,-580.0,-1160.0,-33.0,3.0,3.0,2.0,3.0,2.0,2.0
