gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT04_152461,complete,LEC,2026.0,0.0,1.0,16.02,Red,top,UEC clodmattya,UEC eSports PlusPlus,0.0,Mordekaiser,Jayce,Rumble,Syndra,Braum,Karma,1776.0,0.0,2.0,5.0,1.0,8.0,27.0,0.0,0.0,0.0,0.0,0.0,0.2703,1.1824,0.0,0.0,16.0,3.0,5.0,39.0,9878.0,5979.0,201.9932,9425.0,219.0,219.0,0.0,7.3986,3133.0,5177.0,72.0,3786.0,4972.0,90.0,-653.0,205.0,-18.0,0.0,1.0,1.0,1.0,0.0,1.0,4779.0,8650.0,127.0,5816.0,8790.0,147.0,-1037.0,-140.0,-20.0,0.0,1.0,1.0,1.0,0.0,1.0,6931.0,11709.0,178.0,8593.0,12446.0,207.0,-1662.0,-737.0,-29.0,1.0,1.0,2.0,2.0,1.0,1.0,9048.0,14074.0,209.0,10867.0,14746.0,248.0,-1819.0,-672.0,-39.0,2.0,1.0,3.0,2.0,3.0,1.0
LOLTMNT04_152461,complete,LEC,2026.0,0.0,1.0,16.02,Red,jng,UEC Fahren,UEC eSports PlusPlus,0.0,Xin Zhao,Jayce,Rumble,Syndra,Braum,Karma,1776.0,0.0,1.0,6.0,3.0,8.0,27.0,0.0,0.0,0.0,0.0,0.0,0.2703,1.1824,0.0,1.0,6.0,2.0,6.0,20.0,8490.0,4591.0,155.1014,8250.0,158.0,10.0,148.0,5.3378,3283.0,3431.0,66.0,4215.0,4433.0,78.0,-932.0,-1002.0,-12.0,0.0,1.0,0.0,2.0,2.0,0.0,4612.0,5314.0,94.0,6397.0,7015.0,116.0,-1785.0,-1701.0,-22.0,0.0,1.0,1.0,3.0,6.0,0.0,5931.0,7653.0,120.0,8413.0,9756.0,152.0,-2482.0,-2103.0,-32.0,0.0,1.0,2.0,3.0,9.0,0.0,7420.0,9874.0,148.0,10942.0,13098.0,185.0,-3522.0,-3224.0,-37.0,0.0,2.0,3.0,5.0,11.0,1.0
LOLTMNT04_152461,complete,LEC,2026.0,0.0,1.0,16.02,Red,mid,UEC ks76,UEC eSports PlusPlus,0.0,Taliyah,Jayce,Rumble,Syndra,Braum,Karma,1776.0,0.0,1.0,6.0,4.0,8.0,27.0,0.0,0.0,0.0,0.0,0.0,0.2703,1.1824,0.0,0.0,19.0,3.0,7.0,42.0,10100.0,6201.0,209.4932,9975.0,236.0,236.0,0.0,7.973,3651.0,4798.0,81.0,3328.0,5403.0,87.0,323.0,-605.0,-6.0,1.0,1.0,1.0,0.0,1.0,0.0,5363.0,7237.0,125.0,5320.0,7994.0,131.0,43.0,-757.0,-6.0,1.0,1.0,2.0,0.0,3.0,0.0,6932.0,9671.0,168.0,7120.0,11220.0,184.0,-188.0,-1549.0,-16.0,1.0,1.0,3.0,0.0,4.0,0.0,8924.0,12109.0,213.0,9383.0,13861.0,225.0,-459.0,-1752.0,-12.0,1.0,2.0,4.0,1.0,5.0,0.0
LOLTMNT04_152461,complete,LEC,2026.0,0.0,1.0,16.02,Red,bot,UEC Ruunan,UEC eSports PlusPlus,0.0,Sivir,Jayce,Rumble,Syndra,Braum,Karma,1776.0,0.0,3.0,3.0,3.0,8.0,27.0,0.0,0.0,0.0,0.0,0.0,0.2703,1.1824,0.0,0.0,13.0,5.0,1.0,28.0,14912.0,11013.0,372.0608,14675.0,292.0,286.0,6.0,9.8649,3465.0,3725.0,87.0,3652.0,3092.0,80.0,-187.0,633.0,7.0,0.0,1.0,1.0,1.0,1.0,1.0,5395.0,5300.0,124.0,6886.0,5635.0,133.0,-1491.0,-335.0,-9.0,0.0,1.0,2.0,4.0,1.0,1.0,8141.0,7432.0,189.0,9575.0,8442.0,186.0,-1434.0,-1010.0,3.0,0.0,1.0,2.0,5.0,2.0,2.0,11509.0,10020.0,244.0,11915.0,11116.0,243.0,-406.0,-1096.0,1.0,1.0,2.0,2.0,5.0,3.0,2.0
LOLTMNT04_152461,complete,LEC,2026.0,0.0,1.0,16.02,Red,sup,UEC Fragrance,UEC eSports PlusPlus,0.0,Nautilus,Jayce,Rumble,Syndra,Braum,Karma,1776.0,0.0,1.0,7.0,2.0,8.0,27.0,0.0,0.0,0.0,0.0,0.0,0.2703,1.1824,0.0,0.0,39.0,10.0,8.0,97.0,6782.0,2883.0,97.3986,6160.0,28.0,28.0,0.0,0.9459,2662.0,2445.0,11.0,2504.0,2374.0,18.0,158.0,71.0,-7.0,1.0,0.0,1.0,0.0,3.0,0.0,3666.0,3600.0,17.0,4618.0,3762.0,26.0,-952.0,-162.0,-9.0,1.0,0.0,3.0,1.0,7.0,0.0,4713.0,6369.0,18.0,6320.0,5298.0,33.0,-1607.0,1071.0,-15.0,1.0,0.0,3.0,2.0,9.0,0.0,5788.0,7838.0,25.0,8025.0,6648.0,38.0,-2237.0,1190.0,-13.0,1.0,0.0,4.0,3.0,11.0,1.0
LOLTMNT04_152461,complete,LEC,2026.0,0.0,1.0,16.02,Red,team,,UEC eSports PlusPlus,0.0,,Jayce,Rumble,Syndra,Braum,Karma,1776.0,0.0,8.0,27.0,13.0,8.0,27.0,0.0,0.0,0.0,0.0,0.0,0.2703,1.1824,0.0,1.0,93.0,23.0,27.0,226.0,50162.0,30669.0,1036.1149,48485.0,,779.0,154.0,31.5203,16194.0,19576.0,317.0,17485.0,20274.0,353.0,-1291.0,-698.0,-36.0,2.0,4.0,4.0,4.0,7.0,2.0,23815.0,30101.0,487.0,29037.0,33196.0,553.0,-5222.0,-3095.0,-66.0,2.0,4.0,9.0,9.0,17.0,2.0,32648.0,42834.0,673.0,40021.0,47162.0,762.0,-7373.0,-4328.0,-89.0,3.0,4.0,12.0,12.0,25.0,3.0,42689.0,53915.0,839.0,51132.0,59469.0,939.0,-8443.0,-5554.0,-100.0,5.0,7.0,16.0,16.0,33.0,5.0
LOLTMNT01_335385,complete,LCS,2026.0,0.0,1.0,16.02,Red,top,UEC clodmattya,UEC eSports PlusPlus,0.0,Garen,Jayce,Rumble,Azir,Dr. Mundo,Malphite,1764.0,0.0,6.0,6.0,1.0,11.0,25.0,1.0,0.0,0.0,0.0,0.0,0.3741,1.2245,0.0,0.0,11.0,14.0,5.0,43.0,11777.0,7903.0,268.8095,11525.0,200.0,200.0,0.0,6.8027,3069.0,4504.0,64.0,4272.0,5458.0,81.0,-1203.0,-954.0,-17.0,1.0,0.0,2.0,2.0,0.0,1.0,4335.0,7663.0,102.0,6851.0,9752.0,137.0,-2516.0,-2089.0,-35.0,1.0,0.0,3.0,3.0,0.0,1.0,5797.0,9718.0,133.0,9342.0,11430.0,165.0,-3545.0,-1712.0,-32.0,1.0,0.0,3.0,3.0,0.0,1.0,8156.0,11839.0,169.0,10948.0,14297.0,187.0,-2792.0,-2458.0,-18.0,3.0,0.0,5.0,3.0,3.0,2.0
LOLTMNT01_335385,complete,LCS,2026.0,0.0,1.0,16.02,Red,jng,UEC Fahren,UEC eSports PlusPlus,0.0,Skarner,Jayce,Rumble,Azir,Dr. Mundo,Malphite,1764.0,0.0,0.0,4.0,7.0,11.0,25.0,0.0,0.0,0.0,0.0,0.0,0.3741,1.2245,0.0,1.0,9.0,16.0,4.0,48.0,9067.0,5193.0,176.6327,8300.0,171.0,26.0,145.0,5.8163,3155.0,3129.0,59.0,4825.0,4416.0,78.0,-1670.0,-1287.0,-19.0,0.0,2.0,2.0,4.0,1.0,0.0,4731.0,5357.0,94.0,7437.0,7853.0,131.0,-2706.0,-2496.0,-37.0,0.0,2.0,2.0,6.0,1.0,0.0,6622.0,8472.0,139.0,9332.0,9959.0,164.0,-2710.0,-1487.0,-25.0,0.0,2.0,2.0,6.0,2.0,0.0,7981.0,10235.0,160.0,13200.0,14182.0,212.0,-5219.0,-3947.0,-52.0,0.0,4.0,3.0,11.0,4.0,0.0
LOLTMNT01_335385,complete,LCS,2026.0,0.0,1.0,16.02,Red,mid,UEC ks76,UEC eSports PlusPlus,0.0,Taliyah,Jayce,Rumble,Azir,Dr. Mundo,Malphite,1764.0,0.0,1.0,2.0,5.0,11.0,25.0,0.0,0.0,0.0,0.0,0.0,0.3741,1.2245,0.0,0.0,14.0,3.0,3.0,30.0,10371.0,6497.0,220.9864,9525.0,247.0,243.0,4.0,8.4014,3151.0,4910.0,82.0,3440.0,5033.0,90.0,-289.0,-123.0,-8.0,0.0,1.0,0.0,0.0,0.0,1.0,4867.0,7262.0,127.0,5663.0,8318.0,151.0,-796.0,-1056.0,-24.0,0.0,1.0,1.0,0.0,2.0,1.0,6553.0,9461.0,166.0,7692.0,10857.0,202.0,-1139.0,-1396.0,-36.0,0.0,1.0,1.0,0.0,2.0,1.0,8595.0,12318.0,227.0,9586.0,15535.0,232.0,-991.0,-3217.0,-5.0,0.0,2.0,1.0,1.0,6.0,1.0
LOLTMNT01_335385,complete,LCS,2026.0,0.0,1.0,16.02,Red,bot,UEC Ruunan,UEC eSports PlusPlus,0.0,Ziggs,Jayce,Rumble,Azir,Dr. Mundo,Malphite,1764.0,0.0,4.0,8.0,2.0,11.0,25.0,0.0,0.0,0.0,0.0,1.0,0.3741,1.2245,0.0,0.0,10.0,2.0,1.0,17.0,11649.0,7775.0,264.4558,11345.0,217.0,217.0,0.0,7.381,4326.0,3139.0,67.0,3639.0,3803.0,75.0,687.0,-664.0,-8.0,3.0,0.0,3.0,1.0,2.0,1.0,6181.0,5197.0,115.0,5946.0,6244.0,128.0,235.0,-1047.0,-13.0,3.0,0.0,4.0,1.0,2.0,1.0,8729.0,7709.0,162.0,8262.0,8636.0,175.0,467.0,-927.0,-13.0,4.0,0.0,4.0,2.0,2.0,1.0,10170.0,9488.0,196.0,11108.0,11364.0,205.0,-938.0,-1876.0,-9.0,4.0,1.0,6.0,3.0,6.0,1.0
LOLTMNT01_335385,complete,LCS,2026.0,0.0,1.0,16.02,Red,sup,UEC Fragrance,UEC eSports PlusPlus,0.0,Seraphine,Jayce,Rumble,Azir,Dr. Mundo,Malphite,1764.0,0.0,0.0,5.0,10.0,11.0,25.0,0.0,0.0,0.0,0.0,1.0,0.3741,1.2245,0.0,0.0,39.0,15.0,9.0,96.0,7542.0,3668.0,124.7619,7155.0,40.0,40.0,0.0,1.3605,2637.0,2976.0,15.0,3165.0,2443.0,10.0,-528.0,533.0,5.0,0.0,3.0,1.0,1.0,5.0,1.0,3749.0,4299.0,23.0,4478.0,3473.0,17.0,-729.0,826.0,6.0,0.0,3.0,1.0,1.0,7.0,1.0,5081.0,5567.0,27.0,5728.0,5086.0,23.0,-647.0,481.0,4.0,0.0,4.0,2.0,1.0,7.0,2.0,6342.0,7170.0,33.0,7457.0,7343.0,28.0,-1115.0,-173.0,5.0,0.0,6.0,4.0,1.0,13.0,3.0
LOLTMNT01_335385,complete,LCS,2026.0,0.0,1.0,16.02,Red,team,,UEC eSports PlusPlus,0.0,,Jayce,Rumble,Azir,Dr. Mundo,Malphite,1764.0,0.0,11.0,25.0,25.0,11.0,25.0,1.0,0.0,0.0,0.0,1.0,0.3741,1.2245,0.0,1.0,83.0,50.0,22.0,234.0,50406.0,31035.0,1055.6122,47850.0,,726.0,149.0,29.7619,16338.0,18658.0,287.0,19341.0,21153.0,334.0,-3003.0,-2495.0,-47.0,4.0,6.0,8.0,8.0,8.0,4.0,23863.0,29778.0,461.0,30375.0,35640.0,564.0,-6512.0,-5862.0,-103.0,4.0,6.0,11.0,11.0,12.0,4.0,32782.0,40927.0,627.0,40356.0,45968.0,729.0,-7574.0,-5041.0,-102.0,5.0,7.0,12.0,12.0,13.0,5.0,41244.0,51050.0,785.0,52299.0,62721.0,864.0,-11055.0,-11671.0,-79.0,7.0,13.0,19.0,19.0,32.0,7.0
LOLTMNT01_335502,complete,LCKC,2026.0,0.0,1.0,16.02,Red,top,UEC clodmattya,UEC eSports PlusPlus,0.0,Yorick,Jayce,Rumble,Azir,Sylas,Ambessa,1229.0,0.0,0.0,4.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9276,0.0,0.0,9.0,2.0,1.0,24.0,6214.0,3431.0,167.502,5958.0,132.0,132.0,0.0,6.4443,2769.0,4529.0,59.0,4187.0,5771.0,84.0,-1418.0,-1242.0,-25.0,0.0,0.0,2.0,2.0,0.0,0.0,4130.0,8196.0,96.0,6502.0,9493.0,130.0,-2372.0,-1297.0,-34.0,0.0,0.0,2.0,3.0,3.0,0.0,6155.0,10579.0,132.0,8908.0,12137.0,167.0,-2753.0,-1558.0,-35.0,0.0,0.0,4.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
LOLTMNT01_335502,complete,LCKC,2026.0,0.0,1.0,16.02,Red,jng,UEC Fahren,UEC eSports PlusPlus,0.0,Malphite,Jayce,Rumble,Azir,Sylas,Ambessa,1229.0,0.0,0.0,3.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9276,0.0,0.0,5.0,7.0,3.0,22.0,5607.0,2824.0,137.8682,4575.0,107.0,8.0,99.0,5.2238,3189.0,3529.0,66.0,3635.0,4684.0,90.0,-446.0,-1155.0,-24.0,0.0,0.0,0.0,0.0,0.0,0.0,4472.0,5452.0,93.0,6254.0,8173.0,144.0,-1782.0,-2721.0,-51.0,0.0,0.0,1.0,1.0,3.0,0.0,5547.0,6794.0,107.0,9844.0,12528.0,186.0,-4297.0,-5734.0,-79.0,0.0,0.0,3.0,3.0,10.0,0.0,,,,,,,,,,,,,,,
LOLTMNT01_335502,complete,LCKC,2026.0,0.0,1.0,16.02,Red,mid,UEC ks76,UEC eSports PlusPlus,0.0,Ryze,Jayce,Rumble,Azir,Sylas,Ambessa,1229.0,0.0,0.0,4.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9276,0.0,0.0,4.0,1.0,2.0,11.0,5745.0,2962.0,144.6054,5700.0,143.0,143.0,0.0,6.9813,2831.0,4831.0,68.0,3763.0,5479.0,103.0,-932.0,-648.0,-35.0,0.0,0.0,0.0,0.0,0.0,0.0,4031.0,6618.0,96.0,6860.0,9086.0,163.0,-2829.0,-2468.0,-67.0,0.0,0.0,1.0,2.0,1.0,0.0,5686.0,9442.0,143.0,10195.0,12163.0,222.0,-4509.0,-2721.0,-79.0,0.0,0.0,4.0,3.0,9.0,0.0,,,,,,,,,,,,,,,
