gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT04_151435,complete,LEC,2026.0,0.0,1.0,16.02,Red,top,jejemua,V3 Esports,0.0,Jax,Varus,LeBlanc,Jayce,Renekton,Yone,1405.0,0.0,0.0,3.0,0.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0854,0.8114,0.0,0.0,9.0,3.0,0.0,21.0,7426.0,4284.0,182.9466,7413.0,168.0,168.0,0.0,7.1744,3199.0,5118.0,83.0,3270.0,4901.0,77.0,-71.0,217.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4510.0,7320.0,105.0,5371.0,8904.0,126.0,-861.0,-1584.0,-21.0,0.0,0.0,2.0,1.0,1.0,0.0,6492.0,10247.0,157.0,7177.0,11774.0,176.0,-685.0,-1527.0,-19.0,0.0,0.0,2.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
LOLTMNT04_151435,complete,LEC,2026.0,0.0,1.0,16.02,Red,jng,V3 fairy,V3 Esports,0.0,Vi,Varus,LeBlanc,Jayce,Renekton,Yone,1405.0,0.0,0.0,3.0,2.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0854,0.8114,0.0,1.0,6.0,5.0,6.0,26.0,6980.0,3838.0,163.9004,6625.0,126.0,14.0,112.0,5.3808,3332.0,3819.0,73.0,4157.0,4046.0,74.0,-825.0,-227.0,-1.0,0.0,0.0,1.0,1.0,4.0,0.0,4790.0,5450.0,101.0,6913.0,7543.0,129.0,-2123.0,-2093.0,-28.0,0.0,1.0,2.0,2.0,7.0,0.0,6157.0,6896.0,120.0,9840.0,11543.0,193.0,-3683.0,-4647.0,-73.0,0.0,1.0,2.0,2.0,8.0,0.0,,,,,,,,,,,,,,,
LOLTMNT04_151435,complete,LEC,2026.0,0.0,1.0,16.02,Red,mid,Asagao,V3 Esports,0.0,Syndra,Varus,LeBlanc,Jayce,Renekton,Yone,1405.0,0.0,1.0,2.0,1.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0854,0.8114,0.0,0.0,13.0,1.0,3.0,24.0,7902.0,4760.0,203.274,7825.0,195.0,195.0,0.0,8.3274,3202.0,5260.0,86.0,3522.0,5487.0,98.0,-320.0,-227.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,5305.0,7941.0,136.0,5501.0,8100.0,145.0,-196.0,-159.0,-9.0,1.0,0.0,0.0,0.0,2.0,0.0,6855.0,10135.0,177.0,7351.0,11152.0,191.0,-496.0,-1017.0,-14.0,1.0,0.0,1.0,0.0,3.0,0.0,,,,,,,,,,,,,,,
LOLTMNT04_151435,complete,LEC,2026.0,0.0,1.0,16.02,Red,bot,hinami,V3 Esports,0.0,Lucian,Varus,LeBlanc,Jayce,Renekton,Yone,1405.0,0.0,1.0,4.0,0.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0854,0.8114,0.0,0.0,11.0,7.0,3.0,27.0,9140.0,5998.0,256.1423,8775.0,181.0,181.0,0.0,7.7295,2865.0,2865.0,56.0,4774.0,3340.0,84.0,-1909.0,-475.0,-28.0,0.0,0.0,2.0,3.0,2.0,1.0,4581.0,4965.0,95.0,8006.0,5869.0,125.0,-3425.0,-904.0,-30.0,0.0,0.0,3.0,6.0,3.0,1.0,7144.0,7186.0,151.0,10870.0,8612.0,188.0,-3726.0,-1426.0,-37.0,0.0,0.0,3.0,6.0,3.0,1.0,,,,,,,,,,,,,,,
LOLTMNT04_151435,complete,LEC,2026.0,0.0,1.0,16.02,Red,sup,V3 ruin,V3 Esports,0.0,Braum,Varus,LeBlanc,Jayce,Renekton,Yone,1405.0,0.0,0.0,5.0,2.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0854,0.8114,0.0,0.0,28.0,6.0,8.0,63.0,5421.0,2279.0,97.3238,5060.0,19.0,19.0,0.0,0.8114,2227.0,2503.0,14.0,3457.0,2545.0,15.0,-1230.0,-42.0,-1.0,0.0,0.0,2.0,1.0,4.0,0.0,3413.0,3334.0,17.0,5302.0,3336.0,19.0,-1889.0,-2.0,-2.0,0.0,1.0,4.0,2.0,6.0,1.0,4557.0,5199.0,18.0,6918.0,4755.0,23.0,-2361.0,444.0,-5.0,0.0,1.0,4.0,3.0,6.0,1.0,,,,,,,,,,,,,,,
LOLTMNT04_151435,complete,LEC,2026.0,0.0,1.0,16.02,Red,team,,V3 Esports,0.0,,Varus,LeBlanc,Jayce,Renekton,Yone,1405.0,0.0,2.0,17.0,5.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0854,0.8114,0.0,1.0,67.0,22.0,20.0,161.0,36869.0,21160.0,903.6299,35698.0,,577.0,112.0,29.4235,14825.0,19565.0,312.0,19180.0,20319.0,348.0,-4355.0,-754.0,-36.0,0.0,0.0,5.0,5.0,10.0,1.0,22599.0,29010.0,454.0,31093.0,33752.0,544.0,-8494.0,-4742.0,-90.0,1.0,2.0,11.0,11.0,19.0,2.0,31205.0,39663.0,623.0,42156.0,47836.0,771.0,-10951.0,-8173.0,-148.0,1.0,2.0,12.0,12.0,21.0,2.0,,,,,,,,,,,,,,,
LOLTMNT04_151443,complete,LEC,2026.0,0.0,1.0,16.02,Red,top,jejemua,V3 Esports,0.0,Aatrox,Varus,Jayce,Ryze,Lulu,Braum,1527.0,0.0,1.0,4.0,1.0,7.0,21.0,0.0,0.0,0.0,0.0,0.0,0.275,1.1002,0.0,0.0,7.0,3.0,0.0,26.0,8706.0,5315.0,208.8409,8625.0,207.0,207.0,0.0,8.1336,2903.0,5180.0,72.0,3202.0,5348.0,87.0,-299.0,-168.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,4718.0,9109.0,129.0,4731.0,8819.0,130.0,-13.0,290.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,6647.0,11961.0,171.0,6146.0,10127.0,144.0,501.0,1834.0,27.0,1.0,1.0,2.0,0.0,1.0,2.0,8650.0,14097.0,207.0,9173.0,15258.0,207.0,-523.0,-1161.0,0.0,1.0,1.0,4.0,0.0,3.0,2.0
LOLTMNT04_151443,complete,LEC,2026.0,0.0,1.0,16.02,Red,jng,V3 fairy,V3 Esports,0.0,Wukong,Varus,Jayce,Ryze,Lulu,Braum,1527.0,0.0,4.0,5.0,3.0,7.0,21.0,1.0,0.0,0.0,0.0,0.0,0.275,1.1002,0.0,0.0,8.0,6.0,7.0,42.0,10383.0,6992.0,274.7348,9458.0,187.0,8.0,179.0,7.3477,4036.0,3870.0,72.0,4327.0,4415.0,77.0,-291.0,-545.0,-5.0,2.0,0.0,2.0,1.0,4.0,1.0,6229.0,6305.0,114.0,6744.0,7699.0,129.0,-515.0,-1394.0,-15.0,3.0,0.0,3.0,2.0,6.0,1.0,8828.0,9917.0,163.0,9836.0,10827.0,171.0,-1008.0,-910.0,-8.0,4.0,3.0,3.0,4.0,6.0,1.0,10328.0,11560.0,187.0,13878.0,15396.0,213.0,-3550.0,-3836.0,-26.0,4.0,3.0,5.0,7.0,9.0,1.0
LOLTMNT04_151443,complete,LEC,2026.0,0.0,1.0,16.02,Red,mid,Asagao,V3 Esports,0.0,Orianna,Varus,Jayce,Ryze,Lulu,Braum,1527.0,0.0,1.0,4.0,4.0,7.0,21.0,0.0,0.0,0.0,0.0,0.0,0.275,1.1002,0.0,0.0,12.0,3.0,4.0,20.0,8585.0,5194.0,204.0864,8600.0,209.0,209.0,0.0,8.2122,3270.0,4871.0,75.0,3846.0,5142.0,85.0,-576.0,-271.0,-10.0,0.0,2.0,1.0,2.0,1.0,1.0,4925.0,7762.0,129.0,5388.0,7723.0,132.0,-463.0,39.0,-3.0,0.0,2.0,1.0,2.0,1.0,1.0,7000.0,10176.0,172.0,7946.0,11428.0,184.0,-946.0,-1252.0,-12.0,1.0,4.0,2.0,3.0,2.0,1.0,8530.0,11998.0,209.0,11070.0,14742.0,210.0,-2540.0,-2744.0,-1.0,1.0,4.0,4.0,6.0,4.0,1.0
LOLTMNT04_151443,complete,LEC,2026.0,0.0,1.0,16.02,Red,bot,hinami,V3 Esports,0.0,Kai'Sa,Varus,Jayce,Ryze,Lulu,Braum,1527.0,0.0,1.0,3.0,5.0,7.0,21.0,0.0,0.0,0.0,0.0,0.0,0.275,1.1002,0.0,1.0,13.0,6.0,4.0,26.0,10826.0,7435.0,292.1415,10660.0,226.0,226.0,0.0,8.8802,3437.0,3321.0,80.0,4319.0,3721.0,78.0,-882.0,-400.0,2.0,0.0,2.0,1.0,2.0,2.0,0.0,5544.0,4961.0,121.0,8080.0,5884.0,133.0,-2536.0,-923.0,-12.0,0.0,3.0,2.0,4.0,3.0,1.0,8725.0,8077.0,173.0,11685.0,8674.0,193.0,-2960.0,-597.0,-20.0,1.0,5.0,2.0,5.0,4.0,2.0,10771.0,10407.0,226.0,15440.0,12317.0,248.0,-4669.0,-1910.0,-22.0,1.0,5.0,3.0,6.0,8.0,2.0
