gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_174014,complete,LIT,2026.0,0.0,1.0,16.01,Red,top,tomomaso,Zephyr Esport,0.0,Cho'Gath,Rumble,Azir,Ambessa,Akali,Ryze,2475.0,0.0,3.0,3.0,1.0,9.0,15.0,0.0,0.0,0.0,0.0,1.0,0.2182,0.5818,1.0,0.0,24.0,7.0,8.0,73.0,14858.0,9533.0,231.103,14300.0,329.0,323.0,6.0,7.9758,4001.0,5330.0,85.0,3281.0,5162.0,86.0,720.0,168.0,-1.0,2.0,0.0,0.0,0.0,0.0,2.0,6319.0,9575.0,146.0,5093.0,9003.0,130.0,1226.0,572.0,16.0,3.0,0.0,1.0,1.0,0.0,3.0,8394.0,12933.0,207.0,7081.0,12774.0,194.0,1313.0,159.0,13.0,3.0,0.0,1.0,1.0,0.0,3.0,10204.0,15726.0,255.0,8790.0,16183.0,235.0,1414.0,-457.0,20.0,3.0,0.0,2.0,1.0,1.0,3.0
LOLTMNT05_174014,complete,LIT,2026.0,0.0,1.0,16.01,Red,jng,Icarus,Zephyr Esport,0.0,Wukong,Rumble,Azir,Ambessa,Akali,Ryze,2475.0,0.0,3.0,3.0,1.0,9.0,15.0,0.0,0.0,0.0,0.0,0.0,0.2182,0.5818,0.0,0.0,15.0,28.0,13.0,86.0,14799.0,9474.0,229.6727,13833.0,265.0,42.0,223.0,6.4242,3487.0,4131.0,78.0,3890.0,4565.0,87.0,-403.0,-434.0,-9.0,0.0,0.0,1.0,0.0,1.0,0.0,5578.0,5942.0,103.0,5912.0,7487.0,140.0,-334.0,-1545.0,-37.0,2.0,0.0,2.0,0.0,1.0,0.0,7523.0,9252.0,154.0,8029.0,10632.0,193.0,-506.0,-1380.0,-39.0,2.0,0.0,2.0,0.0,1.0,0.0,9182.0,11239.0,189.0,10325.0,14097.0,252.0,-1143.0,-2858.0,-63.0,2.0,0.0,2.0,0.0,1.0,0.0
LOLTMNT05_174014,complete,LIT,2026.0,0.0,1.0,16.01,Red,mid,Yuros,Zephyr Esport,0.0,Orianna,Rumble,Azir,Ambessa,Akali,Ryze,2475.0,0.0,1.0,2.0,2.0,9.0,15.0,0.0,0.0,0.0,0.0,0.0,0.2182,0.5818,0.0,0.0,25.0,10.0,10.0,72.0,14925.0,9600.0,232.7273,14400.0,372.0,372.0,0.0,9.0182,3360.0,4957.0,92.0,4200.0,5311.0,95.0,-840.0,-354.0,-3.0,0.0,0.0,0.0,2.0,0.0,0.0,5010.0,8021.0,148.0,6299.0,8511.0,153.0,-1289.0,-490.0,-5.0,0.0,0.0,0.0,3.0,0.0,0.0,6904.0,11052.0,212.0,8409.0,11464.0,216.0,-1505.0,-412.0,-4.0,0.0,0.0,0.0,3.0,0.0,0.0,8657.0,13793.0,265.0,10762.0,14291.0,278.0,-2105.0,-498.0,-13.0,0.0,0.0,0.0,3.0,0.0,0.0
LOLTMNT05_174014,complete,LIT,2026.0,0.0,1.0,16.01,Red,bot,MetroArcher,Zephyr Esport,0.0,Smolder,Rumble,Azir,Ambessa,Akali,Ryze,2475.0,0.0,1.0,3.0,2.0,9.0,15.0,0.0,0.0,0.0,0.0,0.0,0.2182,0.5818,0.0,0.0,11.0,10.0,4.0,42.0,17466.0,12141.0,294.3273,17350.0,409.0,408.0,1.0,9.9152,3173.0,3106.0,73.0,4441.0,3596.0,101.0,-1268.0,-490.0,-28.0,0.0,0.0,1.0,1.0,2.0,0.0,5156.0,5114.0,116.0,8428.0,6249.0,154.0,-3272.0,-1135.0,-38.0,0.0,2.0,2.0,4.0,2.0,1.0,7338.0,8103.0,183.0,11432.0,9240.0,227.0,-4094.0,-1137.0,-44.0,0.0,2.0,2.0,4.0,2.0,1.0,9498.0,10852.0,246.0,14147.0,12871.0,295.0,-4649.0,-2019.0,-49.0,0.0,2.0,2.0,5.0,2.0,1.0
LOLTMNT05_174014,complete,LIT,2026.0,0.0,1.0,16.01,Red,sup,Blazteurs,Zephyr Esport,0.0,Neeko,Rumble,Azir,Ambessa,Akali,Ryze,2475.0,0.0,1.0,4.0,3.0,9.0,15.0,0.0,0.0,0.0,0.0,0.0,0.2182,0.5818,0.0,0.0,66.0,22.0,18.0,160.0,11106.0,5781.0,140.1455,10815.0,41.0,41.0,0.0,0.9939,2309.0,2775.0,14.0,2685.0,3038.0,7.0,-376.0,-263.0,7.0,0.0,0.0,1.0,0.0,2.0,0.0,3398.0,4223.0,16.0,4225.0,4986.0,9.0,-827.0,-763.0,7.0,0.0,1.0,3.0,0.0,6.0,1.0,4595.0,5812.0,23.0,5327.0,6156.0,12.0,-732.0,-344.0,11.0,0.0,1.0,3.0,0.0,6.0,1.0,5770.0,6834.0,26.0,6544.0,6586.0,20.0,-774.0,248.0,6.0,0.0,1.0,3.0,0.0,6.0,1.0
LOLTMNT05_174014,complete,LIT,2026.0,0.0,1.0,16.01,Red,team,,Zephyr Esport,0.0,,Rumble,Azir,Ambessa,Akali,Ryze,2475.0,0.0,9.0,15.0,9.0,9.0,15.0,0.0,0.0,0.0,0.0,1.0,0.2182,0.5818,1.0,0.0,141.0,77.0,53.0,433.0,73154.0,46531.0,1128.0242,70698.0,,1186.0,230.0,34.3273,16330.0,20299.0,342.0,18497.0,21672.0,376.0,-2167.0,-1373.0,-34.0,2.0,0.0,3.0,3.0,5.0,2.0,25461.0,32875.0,529.0,29957.0,36236.0,586.0,-4496.0,-3361.0,-57.0,5.0,3.0,8.0,8.0,9.0,5.0,34754.0,47152.0,779.0,40278.0,50266.0,842.0,-5524.0,-3114.0,-63.0,5.0,3.0,8.0,8.0,9.0,5.0,43311.0,58444.0,981.0,50568.0,64028.0,1080.0,-7257.0,-5584.0,-99.0,5.0,3.0,9.0,9.0,10.0,5.0
LOLTMNT01_333293,complete,LJL,2026.0,0.0,1.0,16.02,Blue,top,tomomaso,Zephyr Esport,1.0,Sion,Rumble,Kayn,Karthus,Gwen,Lulu,2065.0,0.0,3.0,1.0,6.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.3487,0.6973,0.0,0.0,20.0,4.0,7.0,47.0,13576.0,9088.0,264.0581,12875.0,280.0,272.0,8.0,8.1356,3429.0,5059.0,91.0,3439.0,5243.0,86.0,-10.0,-184.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,5344.0,8443.0,128.0,5660.0,8653.0,135.0,-316.0,-210.0,-7.0,0.0,2.0,1.0,0.0,1.0,1.0,7250.0,11335.0,165.0,8203.0,11743.0,185.0,-953.0,-408.0,-20.0,1.0,3.0,1.0,1.0,1.0,2.0,9710.0,13912.0,201.0,10359.0,14571.0,237.0,-649.0,-659.0,-36.0,2.0,5.0,1.0,1.0,1.0,2.0
LOLTMNT01_333293,complete,LJL,2026.0,0.0,1.0,16.02,Blue,jng,Icarus,Zephyr Esport,1.0,Wukong,Rumble,Kayn,Karthus,Gwen,Lulu,2065.0,0.0,3.0,4.0,3.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.3487,0.6973,0.0,1.0,9.0,11.0,9.0,50.0,11854.0,7366.0,214.0242,11508.0,228.0,23.0,205.0,6.6247,3302.0,3788.0,74.0,3934.0,4237.0,76.0,-632.0,-449.0,-2.0,0.0,0.0,0.0,1.0,1.0,0.0,5257.0,6267.0,109.0,6838.0,6451.0,110.0,-1581.0,-184.0,-1.0,1.0,0.0,2.0,5.0,1.0,1.0,7653.0,9927.0,157.0,8783.0,8552.0,150.0,-1130.0,1375.0,7.0,2.0,1.0,2.0,5.0,1.0,2.0,9162.0,12220.0,186.0,10447.0,11130.0,189.0,-1285.0,1090.0,-3.0,2.0,3.0,2.0,5.0,1.0,4.0
LOLTMNT01_333293,complete,LJL,2026.0,0.0,1.0,16.02,Blue,mid,Yuros,Zephyr Esport,1.0,Syndra,Rumble,Kayn,Karthus,Gwen,Lulu,2065.0,0.0,2.0,4.0,7.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.3487,0.6973,0.0,0.0,23.0,4.0,12.0,51.0,11721.0,7233.0,210.1598,11310.0,274.0,274.0,0.0,7.9613,3340.0,4952.0,85.0,3954.0,5181.0,101.0,-614.0,-229.0,-16.0,0.0,0.0,1.0,1.0,0.0,0.0,4696.0,7036.0,121.0,6107.0,8286.0,157.0,-1411.0,-1250.0,-36.0,0.0,1.0,2.0,1.0,3.0,0.0,7000.0,9941.0,173.0,8746.0,11761.0,207.0,-1746.0,-1820.0,-34.0,0.0,5.0,3.0,2.0,3.0,0.0,8851.0,12069.0,212.0,10044.0,13421.0,240.0,-1193.0,-1352.0,-28.0,2.0,6.0,3.0,2.0,3.0,1.0
LOLTMNT01_333293,complete,LJL,2026.0,0.0,1.0,16.02,Blue,bot,MetroArcher,Zephyr Esport,1.0,Corki,Rumble,Kayn,Karthus,Gwen,Lulu,2065.0,0.0,4.0,2.0,7.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.3487,0.6973,0.0,0.0,11.0,12.0,2.0,39.0,16336.0,11848.0,344.2518,15683.0,310.0,306.0,4.0,9.0073,3433.0,3703.0,94.0,3748.0,3864.0,100.0,-315.0,-161.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,6439.0,5562.0,131.0,7624.0,6734.0,157.0,-1185.0,-1172.0,-26.0,1.0,0.0,1.0,0.0,1.0,0.0,9807.0,8398.0,186.0,9705.0,8815.0,201.0,102.0,-417.0,-15.0,3.0,2.0,1.0,0.0,2.0,1.0,12031.0,10836.0,235.0,11470.0,10942.0,250.0,561.0,-106.0,-15.0,3.0,5.0,1.0,0.0,2.0,1.0
LOLTMNT01_333293,complete,LJL,2026.0,0.0,1.0,16.02,Blue,sup,Blazteurs,Zephyr Esport,1.0,Rakan,Rumble,Kayn,Karthus,Gwen,Lulu,2065.0,0.0,0.0,1.0,11.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.3487,0.6973,0.0,0.0,54.0,23.0,11.0,153.0,8862.0,4374.0,127.0896,8490.0,43.0,43.0,0.0,1.2494,2362.0,2796.0,21.0,2266.0,3040.0,20.0,96.0,-244.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3531.0,3976.0,25.0,3724.0,3914.0,24.0,-193.0,62.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,5063.0,5273.0,29.0,5101.0,4893.0,27.0,-38.0,380.0,2.0,0.0,5.0,1.0,0.0,5.0,1.0,6321.0,6669.0,34.0,6209.0,5583.0,32.0,112.0,1086.0,2.0,0.0,8.0,1.0,0.0,5.0,1.0
LOLTMNT01_333293,complete,LJL,2026.0,0.0,1.0,16.02,Blue,team,,Zephyr Esport,1.0,,Rumble,Kayn,Karthus,Gwen,Lulu,2065.0,0.0,12.0,12.0,34.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.3487,0.6973,0.0,1.0,117.0,54.0,41.0,340.0,62349.0,39908.0,1159.5545,59866.0,,918.0,217.0,32.9782,15866.0,20298.0,365.0,17341.0,21565.0,383.0,-1475.0,-1267.0,-18.0,0.0,0.0,2.0,2.0,2.0,0.0,25267.0,31284.0,514.0,29953.0,34038.0,583.0,-4686.0,-2754.0,-69.0,2.0,5.0,6.0,6.0,10.0,2.0,36773.0,44874.0,710.0,40538.0,45764.0,770.0,-3765.0,-890.0,-60.0,6.0,16.0,8.0,8.0,12.0,6.0,46075.0,55706.0,868.0,48529.0,55647.0,948.0,-2454.0,59.0,-80.0,9.0,27.0,8.0,8.0,12.0,9.0
