gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_351597,complete,VCS,2026.0,0.0,1.0,16.03,Red,top,Hecabrand,Zerolag Esports,0.0,Sion,Jarvan IV,Ambessa,Varus,Aphelios,Smolder,1659.0,0.0,2.0,6.0,3.0,7.0,33.0,0.0,0.0,0.0,0.0,0.0,0.2532,1.4105,0.0,0.0,10.0,0.0,0.0,24.0,9593.0,5933.0,214.575,9200.0,225.0,225.0,0.0,8.1374,4343.0,5706.0,96.0,3155.0,4803.0,74.0,1188.0,903.0,22.0,2.0,0.0,1.0,0.0,1.0,2.0,6173.0,9287.0,147.0,4903.0,8290.0,113.0,1270.0,997.0,34.0,2.0,1.0,1.0,1.0,1.0,3.0,7783.0,12008.0,186.0,6892.0,10931.0,148.0,891.0,1077.0,38.0,2.0,2.0,3.0,2.0,3.0,4.0,9167.0,14364.0,218.0,10642.0,15918.0,195.0,-1475.0,-1554.0,23.0,2.0,3.0,5.0,5.0,4.0,4.0
LOLTMNT03_351597,complete,VCS,2026.0,0.0,1.0,16.03,Red,jng,belit,Zerolag Esports,0.0,Naafiri,Jarvan IV,Ambessa,Varus,Aphelios,Smolder,1659.0,0.0,3.0,7.0,1.0,7.0,33.0,0.0,0.0,0.0,0.0,0.0,0.2532,1.4105,0.0,0.0,9.0,2.0,6.0,34.0,11046.0,7386.0,267.1248,9900.0,187.0,9.0,178.0,6.7631,3433.0,4130.0,79.0,3836.0,4068.0,72.0,-403.0,62.0,7.0,0.0,0.0,1.0,1.0,2.0,0.0,5141.0,6038.0,111.0,5487.0,6598.0,107.0,-346.0,-560.0,4.0,0.0,1.0,2.0,1.0,3.0,0.0,7800.0,8929.0,150.0,7934.0,9589.0,146.0,-134.0,-660.0,4.0,2.0,1.0,3.0,1.0,8.0,0.0,10587.0,11303.0,183.0,10196.0,13328.0,178.0,391.0,-2025.0,5.0,3.0,1.0,5.0,2.0,13.0,0.0
LOLTMNT03_351597,complete,VCS,2026.0,0.0,1.0,16.03,Red,mid,IceBreaker,Zerolag Esports,0.0,Viktor,Jarvan IV,Ambessa,Varus,Aphelios,Smolder,1659.0,0.0,1.0,8.0,2.0,7.0,33.0,0.0,0.0,0.0,0.0,0.0,0.2532,1.4105,0.0,0.0,8.0,3.0,3.0,17.0,8988.0,5328.0,192.6944,8375.0,207.0,207.0,0.0,7.4864,3174.0,4309.0,78.0,3521.0,4204.0,76.0,-347.0,105.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,5045.0,6711.0,123.0,5958.0,7379.0,131.0,-913.0,-668.0,-8.0,1.0,0.0,3.0,3.0,4.0,0.0,6852.0,9470.0,166.0,9357.0,10978.0,177.0,-2505.0,-1508.0,-11.0,1.0,1.0,4.0,8.0,4.0,0.0,8388.0,11250.0,196.0,12126.0,13874.0,206.0,-3738.0,-2624.0,-10.0,1.0,2.0,6.0,10.0,8.0,0.0
LOLTMNT03_351597,complete,VCS,2026.0,0.0,1.0,16.03,Red,bot,EUNE,Zerolag Esports,0.0,Yunara,Jarvan IV,Ambessa,Varus,Aphelios,Smolder,1659.0,0.0,1.0,5.0,0.0,7.0,33.0,0.0,0.0,0.0,0.0,0.0,0.2532,1.4105,0.0,1.0,5.0,3.0,0.0,15.0,10698.0,7038.0,254.5389,10685.0,248.0,244.0,4.0,8.9693,3173.0,3357.0,79.0,3943.0,3226.0,74.0,-770.0,131.0,5.0,0.0,0.0,1.0,3.0,0.0,0.0,5603.0,5339.0,123.0,7269.0,6110.0,133.0,-1666.0,-771.0,-10.0,1.0,0.0,2.0,4.0,2.0,0.0,8130.0,8126.0,183.0,9621.0,8550.0,181.0,-1491.0,-424.0,2.0,1.0,0.0,2.0,5.0,5.0,0.0,9841.0,10123.0,225.0,13682.0,12229.0,238.0,-3841.0,-2106.0,-13.0,1.0,0.0,4.0,7.0,10.0,1.0
LOLTMNT03_351597,complete,VCS,2026.0,0.0,1.0,16.03,Red,sup,Pigeonx,Zerolag Esports,0.0,Karma,Jarvan IV,Ambessa,Varus,Aphelios,Smolder,1659.0,0.0,0.0,7.0,3.0,7.0,33.0,0.0,0.0,0.0,0.0,0.0,0.2532,1.4105,0.0,0.0,37.0,21.0,6.0,102.0,7010.0,3350.0,121.1573,6775.0,58.0,58.0,0.0,2.0976,2403.0,2300.0,13.0,2672.0,2587.0,8.0,-269.0,-287.0,5.0,0.0,0.0,2.0,0.0,4.0,0.0,3831.0,3788.0,30.0,4498.0,4601.0,14.0,-667.0,-813.0,16.0,0.0,1.0,3.0,1.0,8.0,1.0,5054.0,4780.0,39.0,5823.0,6385.0,18.0,-769.0,-1605.0,21.0,0.0,2.0,6.0,1.0,12.0,2.0,6446.0,6598.0,53.0,8193.0,9471.0,20.0,-1747.0,-2873.0,33.0,0.0,3.0,7.0,2.0,19.0,2.0
LOLTMNT03_351597,complete,VCS,2026.0,0.0,1.0,16.03,Red,team,,Zerolag Esports,0.0,,Jarvan IV,Ambessa,Varus,Aphelios,Smolder,1659.0,0.0,7.0,33.0,9.0,7.0,33.0,0.0,0.0,0.0,0.0,0.0,0.2532,1.4105,0.0,1.0,69.0,29.0,15.0,192.0,47335.0,29035.0,1050.0904,44935.0,,743.0,182.0,33.4539,16526.0,19802.0,345.0,17127.0,18888.0,304.0,-601.0,914.0,41.0,2.0,0.0,6.0,5.0,9.0,2.0,25793.0,31163.0,534.0,28115.0,32978.0,498.0,-2322.0,-1815.0,36.0,4.0,3.0,11.0,10.0,18.0,4.0,35619.0,43313.0,724.0,39627.0,46433.0,670.0,-4008.0,-3120.0,54.0,6.0,6.0,18.0,17.0,32.0,6.0,44429.0,53638.0,875.0,54839.0,64820.0,837.0,-10410.0,-11182.0,38.0,7.0,9.0,27.0,26.0,54.0,7.0
LOLTMNT03_351632,complete,VCS,2026.0,0.0,2.0,16.03,Blue,top,Hecabrand,Zerolag Esports,1.0,Ornn,Cassiopeia,Jarvan IV,Ambessa,Sylas,Akali,1788.0,0.0,2.0,6.0,4.0,7.0,40.0,0.0,0.0,0.0,0.0,0.0,0.2349,1.5772,0.0,0.0,9.0,3.0,0.0,23.0,10989.0,7066.0,237.1141,11100.0,231.0,231.0,0.0,7.7517,3645.0,5074.0,84.0,3688.0,4533.0,77.0,-43.0,541.0,7.0,1.0,0.0,1.0,2.0,0.0,1.0,6591.0,9140.0,137.0,5768.0,7728.0,109.0,823.0,1412.0,28.0,2.0,0.0,2.0,5.0,2.0,2.0,8476.0,12988.0,193.0,8255.0,12576.0,168.0,221.0,412.0,25.0,2.0,1.0,2.0,7.0,3.0,2.0,9678.0,14492.0,215.0,11384.0,16767.0,208.0,-1706.0,-2275.0,7.0,2.0,3.0,4.0,11.0,4.0,2.0
LOLTMNT03_351632,complete,VCS,2026.0,0.0,2.0,16.03,Blue,jng,belit,Zerolag Esports,1.0,Vi,Cassiopeia,Jarvan IV,Ambessa,Sylas,Akali,1788.0,0.0,1.0,10.0,2.0,7.0,40.0,0.0,0.0,0.0,0.0,0.0,0.2349,1.5772,0.0,2.0,12.0,6.0,9.0,47.0,9882.0,5959.0,199.9664,9775.0,181.0,20.0,161.0,6.0738,3221.0,3575.0,70.0,3996.0,4400.0,76.0,-775.0,-825.0,-6.0,0.0,0.0,2.0,1.0,3.0,0.0,4668.0,5550.0,102.0,6049.0,6802.0,108.0,-1381.0,-1252.0,-6.0,0.0,0.0,4.0,3.0,4.0,0.0,6318.0,8017.0,136.0,7925.0,9133.0,141.0,-1607.0,-1116.0,-5.0,0.0,1.0,5.0,3.0,5.0,0.0,8796.0,10465.0,170.0,10003.0,12556.0,169.0,-1207.0,-2091.0,1.0,1.0,2.0,7.0,4.0,8.0,1.0
LOLTMNT03_351632,complete,VCS,2026.0,0.0,2.0,16.03,Blue,mid,IceBreaker,Zerolag Esports,1.0,Taliyah,Cassiopeia,Jarvan IV,Ambessa,Sylas,Akali,1788.0,0.0,2.0,10.0,2.0,7.0,40.0,0.0,0.0,0.0,0.0,0.0,0.2349,1.5772,0.0,0.0,10.0,2.0,4.0,28.0,10993.0,7070.0,237.2483,9975.0,234.0,230.0,4.0,7.8523,3093.0,4498.0,80.0,4217.0,5654.0,105.0,-1124.0,-1156.0,-25.0,0.0,0.0,2.0,2.0,2.0,0.0,4712.0,6998.0,126.0,6541.0,8836.0,157.0,-1829.0,-1838.0,-31.0,0.0,0.0,3.0,4.0,5.0,0.0,6179.0,9088.0,161.0,8426.0,11327.0,204.0,-2247.0,-2239.0,-43.0,0.0,1.0,5.0,5.0,8.0,1.0,8177.0,11296.0,197.0,10763.0,14666.0,234.0,-2586.0,-3370.0,-37.0,1.0,2.0,8.0,7.0,13.0,1.0
LOLTMNT03_351632,complete,VCS,2026.0,0.0,2.0,16.03,Blue,bot,EUNE,Zerolag Esports,1.0,Varus,Cassiopeia,Jarvan IV,Ambessa,Sylas,Akali,1788.0,0.0,2.0,6.0,0.0,7.0,40.0,0.0,0.0,0.0,0.0,0.0,0.2349,1.5772,0.0,0.0,6.0,4.0,1.0,18.0,12544.0,8621.0,289.2953,12425.0,267.0,267.0,0.0,8.9597,3416.0,3793.0,95.0,4220.0,4021.0,91.0,-804.0,-228.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,5546.0,5987.0,142.0,6712.0,6622.0,141.0,-1166.0,-635.0,1.0,0.0,0.0,2.0,2.0,4.0,0.0,9321.0,8909.0,199.0,9626.0,9875.0,203.0,-305.0,-966.0,-4.0,2.0,0.0,2.0,2.0,6.0,1.0,11067.0,10954.0,237.0,12939.0,12803.0,232.0,-1872.0,-1849.0,5.0,2.0,0.0,4.0,5.0,9.0,2.0
