gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_176984,complete,TCL,2026.0,0.0,1.0,16.03,Red,top,Effigy,devils.one,0.0,K'Sante,Ahri,Varus,Jarvan IV,Tristana,Rell,1637.0,0.0,4.0,2.0,3.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0,0.3299,0.8064,0.0,0.0,8.0,4.0,5.0,29.0,10692.0,7077.0,259.3891,10075.0,213.0,213.0,0.0,7.807,3368.0,5348.0,94.0,3460.0,5008.0,93.0,-92.0,340.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5442.0,8707.0,134.0,5048.0,7744.0,141.0,394.0,963.0,-7.0,1.0,2.0,0.0,0.0,0.0,0.0,8492.0,13108.0,190.0,6762.0,11054.0,187.0,1730.0,2054.0,3.0,3.0,2.0,0.0,0.0,0.0,1.0,9616.0,14243.0,207.0,9194.0,14868.0,232.0,422.0,-625.0,-25.0,3.0,3.0,2.0,1.0,1.0,1.0
LOLTMNT05_176984,complete,TCL,2026.0,0.0,1.0,16.03,Red,jng,Hunter,devils.one,0.0,Dr. Mundo,Ahri,Varus,Jarvan IV,Tristana,Rell,1637.0,0.0,2.0,2.0,3.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0,0.3299,0.8064,0.0,0.0,5.0,2.0,3.0,22.0,9869.0,6254.0,229.2242,9325.0,206.0,38.0,168.0,7.5504,3386.0,4018.0,76.0,3712.0,4683.0,89.0,-326.0,-665.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,5533.0,6355.0,111.0,6329.0,8769.0,144.0,-796.0,-2414.0,-33.0,2.0,0.0,1.0,2.0,0.0,0.0,7305.0,8971.0,147.0,8607.0,11605.0,192.0,-1302.0,-2634.0,-45.0,2.0,1.0,1.0,3.0,0.0,1.0,9261.0,12205.0,197.0,10997.0,14684.0,225.0,-1736.0,-2479.0,-28.0,2.0,2.0,1.0,4.0,2.0,1.0
LOLTMNT05_176984,complete,TCL,2026.0,0.0,1.0,16.03,Red,mid,DV1 Sorrow2,devils.one,0.0,Azir,Ahri,Varus,Jarvan IV,Tristana,Rell,1637.0,0.0,1.0,2.0,3.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0,0.3299,0.8064,0.0,0.0,10.0,5.0,1.0,26.0,9642.0,6027.0,220.9041,9575.0,244.0,244.0,0.0,8.9432,3152.0,4970.0,80.0,3781.0,5143.0,99.0,-629.0,-173.0,-19.0,0.0,0.0,0.0,0.0,0.0,0.0,5169.0,7367.0,123.0,6050.0,7706.0,144.0,-881.0,-339.0,-21.0,1.0,1.0,2.0,1.0,1.0,2.0,7169.0,10577.0,181.0,7981.0,10076.0,191.0,-812.0,501.0,-10.0,1.0,2.0,2.0,1.0,2.0,2.0,9047.0,13522.0,232.0,10235.0,13311.0,239.0,-1188.0,211.0,-7.0,1.0,2.0,2.0,2.0,3.0,2.0
LOLTMNT05_176984,complete,TCL,2026.0,0.0,1.0,16.03,Red,bot,szymikoza,devils.one,0.0,Caitlyn,Ahri,Varus,Jarvan IV,Tristana,Rell,1637.0,0.0,2.0,3.0,1.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0,0.3299,0.8064,0.0,1.0,9.0,7.0,1.0,25.0,11333.0,7718.0,282.8833,10950.0,255.0,255.0,0.0,9.3464,3243.0,3522.0,77.0,4503.0,3702.0,96.0,-1260.0,-180.0,-19.0,0.0,0.0,1.0,1.0,0.0,0.0,5630.0,5376.0,123.0,7396.0,5842.0,146.0,-1766.0,-466.0,-23.0,0.0,0.0,1.0,1.0,0.0,1.0,7947.0,8432.0,181.0,10071.0,8369.0,207.0,-2124.0,63.0,-26.0,1.0,0.0,1.0,1.0,0.0,2.0,10780.0,11296.0,245.0,12195.0,10751.0,242.0,-1415.0,545.0,3.0,2.0,0.0,1.0,1.0,2.0,2.0
LOLTMNT05_176984,complete,TCL,2026.0,0.0,1.0,16.03,Red,sup,kubagoat,devils.one,0.0,Karma,Ahri,Varus,Jarvan IV,Tristana,Rell,1637.0,0.0,0.0,4.0,6.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0,0.3299,0.8064,0.0,0.0,48.0,5.0,10.0,83.0,6182.0,2567.0,94.0867,5305.0,15.0,15.0,0.0,0.5498,2315.0,2298.0,9.0,3119.0,2986.0,15.0,-804.0,-688.0,-6.0,0.0,0.0,0.0,0.0,1.0,0.0,3598.0,3770.0,11.0,4743.0,4148.0,20.0,-1145.0,-378.0,-9.0,0.0,3.0,1.0,1.0,2.0,1.0,4639.0,5276.0,12.0,6047.0,5159.0,24.0,-1408.0,117.0,-12.0,0.0,4.0,2.0,1.0,3.0,1.0,5666.0,5671.0,13.0,7400.0,7118.0,28.0,-1734.0,-1447.0,-15.0,0.0,5.0,3.0,1.0,5.0,2.0
LOLTMNT05_176984,complete,TCL,2026.0,0.0,1.0,16.03,Red,team,,devils.one,0.0,,Ahri,Varus,Jarvan IV,Tristana,Rell,1637.0,0.0,9.0,13.0,16.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0,0.3299,0.8064,0.0,1.0,80.0,23.0,20.0,185.0,47718.0,29643.0,1086.4875,45230.0,,765.0,168.0,34.1967,15464.0,20156.0,336.0,18575.0,21522.0,392.0,-3111.0,-1366.0,-56.0,0.0,0.0,1.0,1.0,1.0,0.0,25372.0,31575.0,502.0,29566.0,34209.0,595.0,-4194.0,-2634.0,-93.0,4.0,6.0,5.0,5.0,3.0,4.0,35552.0,46364.0,711.0,39468.0,46263.0,801.0,-3916.0,101.0,-90.0,7.0,9.0,6.0,6.0,5.0,7.0,44370.0,56937.0,894.0,50021.0,60732.0,966.0,-5651.0,-3795.0,-72.0,8.0,12.0,9.0,9.0,13.0,8.0
LOLTMNT05_177003,complete,AL,2026.0,1.0,1.0,16.03,Blue,top,Effigy,devils.one,1.0,Zaahen,Yasuo,Yone,Akali,Wukong,Nocturne,1798.0,0.0,0.0,4.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7008,0.0,0.0,9.0,6.0,1.0,25.0,10097.0,6153.0,205.3281,10075.0,250.0,246.0,4.0,8.3426,3205.0,4703.0,87.0,4090.0,5809.0,97.0,-885.0,-1106.0,-10.0,0.0,0.0,1.0,1.0,0.0,0.0,4720.0,8050.0,134.0,7301.0,10071.0,150.0,-2581.0,-2021.0,-16.0,0.0,0.0,2.0,3.0,1.0,0.0,6387.0,10245.0,168.0,11873.0,14696.0,200.0,-5486.0,-4451.0,-32.0,0.0,0.0,3.0,9.0,1.0,0.0,8237.0,12775.0,216.0,14515.0,18408.0,244.0,-6278.0,-5633.0,-28.0,0.0,0.0,3.0,9.0,3.0,0.0
LOLTMNT05_177003,complete,AL,2026.0,1.0,1.0,16.03,Blue,jng,Hunter,devils.one,1.0,Jarvan IV,Yasuo,Yone,Akali,Wukong,Nocturne,1798.0,0.0,0.0,7.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7008,0.0,2.0,5.0,9.0,2.0,35.0,8638.0,4694.0,156.6407,8450.0,172.0,14.0,158.0,5.7397,3300.0,3866.0,75.0,3722.0,4621.0,89.0,-422.0,-755.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,4787.0,5914.0,110.0,6197.0,8055.0,138.0,-1410.0,-2141.0,-28.0,0.0,0.0,1.0,1.0,2.0,0.0,6009.0,7597.0,132.0,8588.0,11126.0,182.0,-2579.0,-3529.0,-50.0,0.0,0.0,3.0,2.0,3.0,0.0,7346.0,9334.0,153.0,10597.0,14270.0,211.0,-3251.0,-4936.0,-58.0,0.0,0.0,5.0,2.0,5.0,0.0
LOLTMNT05_177003,complete,AL,2026.0,1.0,1.0,16.03,Blue,mid,DV1 Sorrow2,devils.one,1.0,Orianna,Yasuo,Yone,Akali,Wukong,Nocturne,1798.0,0.0,0.0,4.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7008,0.0,0.0,11.0,2.0,1.0,19.0,9687.0,5743.0,191.6463,9075.0,272.0,272.0,0.0,9.0768,3485.0,5162.0,100.0,3271.0,4874.0,88.0,214.0,288.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4900.0,7482.0,145.0,5441.0,8170.0,152.0,-541.0,-688.0,-7.0,0.0,0.0,1.0,0.0,0.0,0.0,6156.0,9049.0,174.0,7707.0,11243.0,205.0,-1551.0,-2194.0,-31.0,0.0,0.0,3.0,0.0,2.0,0.0,8154.0,12394.0,233.0,10104.0,15658.0,250.0,-1950.0,-3264.0,-17.0,0.0,0.0,3.0,2.0,2.0,0.0
LOLTMNT05_177003,complete,AL,2026.0,1.0,1.0,16.03,Blue,bot,szymikoza,devils.one,1.0,Sivir,Yasuo,Yone,Akali,Wukong,Nocturne,1798.0,0.0,0.0,3.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7008,0.0,0.0,8.0,1.0,1.0,14.0,12809.0,8865.0,295.8287,12955.0,321.0,317.0,4.0,10.7119,3422.0,3619.0,91.0,3432.0,3713.0,96.0,-10.0,-94.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,6379.0,6206.0,153.0,5656.0,6335.0,150.0,723.0,-129.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8342.0,8823.0,206.0,8245.0,8727.0,196.0,97.0,96.0,10.0,0.0,0.0,1.0,1.0,1.0,0.0,10433.0,11442.0,268.0,11135.0,11564.0,244.0,-702.0,-122.0,24.0,0.0,0.0,2.0,2.0,2.0,0.0
