gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT04_149251,complete,LEC,2026.0,0.0,1.0,16.01,Blue,top,Bobsik,eSuba,1.0,Ambessa,Orianna,Yunara,Sion,Braum,Karma,1370.0,1.0,1.0,4.0,5.0,24.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0511,1.4891,0.0,0.0,10.0,2.0,1.0,24.0,9852.0,6782.0,297.0219,9100.0,199.0,191.0,8.0,8.7153,3287.0,4813.0,76.0,4354.0,5728.0,99.0,-1067.0,-915.0,-23.0,0.0,1.0,2.0,2.0,0.0,1.0,5137.0,8090.0,116.0,6699.0,9740.0,157.0,-1562.0,-1650.0,-41.0,0.0,2.0,3.0,3.0,0.0,2.0,7968.0,11879.0,172.0,8521.0,12170.0,197.0,-553.0,-291.0,-25.0,0.0,4.0,3.0,3.0,0.0,3.0,,,,,,,,,,,,,,,
LOLTMNT04_149251,complete,LEC,2026.0,0.0,1.0,16.01,Blue,jng,qualzy,eSuba,1.0,Qiyana,Orianna,Yunara,Sion,Braum,Karma,1370.0,1.0,10.0,2.0,9.0,24.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0511,1.4891,1.0,0.0,10.0,2.0,4.0,39.0,13790.0,10720.0,469.4891,12450.0,217.0,12.0,205.0,9.5036,5125.0,4842.0,85.0,3370.0,3726.0,72.0,1755.0,1116.0,13.0,4.0,1.0,1.0,0.0,1.0,1.0,8225.0,8724.0,134.0,6139.0,5873.0,94.0,2086.0,2851.0,40.0,8.0,1.0,2.0,3.0,2.0,1.0,11533.0,13598.0,198.0,7424.0,7423.0,112.0,4109.0,6175.0,86.0,9.0,5.0,2.0,3.0,3.0,3.0,,,,,,,,,,,,,,,
LOLTMNT04_149251,complete,LEC,2026.0,0.0,1.0,16.01,Blue,mid,Adyyy,eSuba,1.0,Azir,Orianna,Yunara,Sion,Braum,Karma,1370.0,1.0,4.0,1.0,4.0,24.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0511,1.4891,0.0,0.0,7.0,2.0,1.0,21.0,11427.0,8357.0,366.0,10775.0,237.0,237.0,0.0,10.3796,4296.0,5347.0,101.0,4314.0,5343.0,91.0,-18.0,4.0,10.0,1.0,2.0,0.0,2.0,0.0,2.0,7632.0,9202.0,161.0,5595.0,7136.0,125.0,2037.0,2066.0,36.0,2.0,4.0,0.0,2.0,0.0,5.0,9968.0,12038.0,225.0,7761.0,9437.0,163.0,2207.0,2601.0,62.0,2.0,4.0,1.0,3.0,0.0,6.0,,,,,,,,,,,,,,,
LOLTMNT04_149251,complete,LEC,2026.0,0.0,1.0,16.01,Blue,bot,raining,eSuba,1.0,Ezreal,Orianna,Yunara,Sion,Braum,Karma,1370.0,1.0,6.0,2.0,9.0,24.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0511,1.4891,0.0,0.0,10.0,2.0,2.0,21.0,13420.0,10350.0,453.2847,11283.0,233.0,229.0,4.0,10.2044,3772.0,3633.0,93.0,2946.0,3545.0,74.0,826.0,88.0,19.0,0.0,3.0,1.0,0.0,0.0,1.0,5883.0,5630.0,139.0,4891.0,6008.0,116.0,992.0,-378.0,23.0,0.0,4.0,2.0,0.0,2.0,2.0,10175.0,10028.0,210.0,6869.0,8590.0,177.0,3306.0,1438.0,33.0,3.0,5.0,2.0,0.0,2.0,3.0,,,,,,,,,,,,,,,
LOLTMNT04_149251,complete,LEC,2026.0,0.0,1.0,16.01,Blue,sup,Mita,eSuba,1.0,Leona,Orianna,Yunara,Sion,Braum,Karma,1370.0,1.0,3.0,1.0,6.0,24.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0511,1.4891,0.0,0.0,25.0,16.0,5.0,81.0,7010.0,3940.0,172.5547,5935.0,29.0,29.0,0.0,1.2701,2483.0,2639.0,11.0,2361.0,2236.0,7.0,122.0,403.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,3692.0,3598.0,21.0,3785.0,3952.0,13.0,-93.0,-354.0,8.0,0.0,3.0,1.0,0.0,4.0,0.0,5519.0,4853.0,26.0,4942.0,4998.0,17.0,577.0,-145.0,9.0,2.0,4.0,1.0,0.0,5.0,1.0,,,,,,,,,,,,,,,
LOLTMNT04_149251,complete,LEC,2026.0,0.0,1.0,16.01,Blue,team,,eSuba,1.0,,Orianna,Yunara,Sion,Braum,Karma,1370.0,1.0,24.0,10.0,33.0,24.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0511,1.4891,1.0,0.0,62.0,24.0,13.0,186.0,55499.0,40147.0,1758.2628,49543.0,,698.0,217.0,40.073,18963.0,21274.0,366.0,17345.0,20578.0,343.0,1618.0,696.0,23.0,5.0,9.0,4.0,4.0,2.0,5.0,30569.0,35244.0,571.0,27109.0,32709.0,505.0,3460.0,2535.0,66.0,10.0,14.0,8.0,8.0,8.0,10.0,45163.0,52396.0,831.0,35517.0,42618.0,666.0,9646.0,9778.0,165.0,16.0,22.0,9.0,9.0,10.0,16.0,,,,,,,,,,,,,,,
LOLTMNT04_151156,complete,TCL,2026.0,0.0,1.0,16.02,Red,top,Bobsik,eSuba,0.0,Jax,Ambessa,Varus,Gwen,Lulu,Poppy,1901.0,1.0,9.0,4.0,3.0,20.0,15.0,3.0,1.0,0.0,0.0,1.0,0.6312,1.1047,0.0,0.0,14.0,10.0,1.0,54.0,15280.0,11126.0,351.1625,13275.0,265.0,257.0,8.0,8.364,3933.0,5493.0,76.0,3308.0,4492.0,78.0,625.0,1001.0,-2.0,2.0,1.0,1.0,1.0,0.0,3.0,6300.0,8752.0,116.0,4855.0,7909.0,109.0,1445.0,843.0,7.0,4.0,1.0,3.0,1.0,3.0,4.0,8507.0,11952.0,162.0,6439.0,10696.0,156.0,2068.0,1256.0,6.0,4.0,1.0,3.0,1.0,3.0,5.0,10223.0,14101.0,204.0,7939.0,13398.0,197.0,2284.0,703.0,7.0,4.0,1.0,4.0,1.0,4.0,5.0
LOLTMNT04_151156,complete,TCL,2026.0,0.0,1.0,16.02,Red,jng,qualzy,eSuba,0.0,Rengar,Ambessa,Varus,Gwen,Lulu,Poppy,1901.0,1.0,4.0,2.0,3.0,20.0,15.0,0.0,0.0,0.0,0.0,1.0,0.6312,1.1047,0.0,0.0,9.0,6.0,5.0,45.0,14127.0,9973.0,314.7712,12525.0,279.0,18.0,261.0,8.8059,3848.0,4228.0,79.0,4283.0,4990.0,90.0,-435.0,-762.0,-11.0,1.0,0.0,0.0,1.0,1.0,0.0,5607.0,7143.0,126.0,7987.0,8335.0,134.0,-2380.0,-1192.0,-8.0,1.0,0.0,0.0,4.0,2.0,0.0,7752.0,10052.0,174.0,10445.0,11123.0,183.0,-2693.0,-1071.0,-9.0,1.0,1.0,0.0,5.0,2.0,0.0,10160.0,13125.0,225.0,13944.0,14431.0,232.0,-3784.0,-1306.0,-7.0,1.0,1.0,1.0,7.0,3.0,0.0
LOLTMNT04_151156,complete,TCL,2026.0,0.0,1.0,16.02,Red,mid,Adyyy,eSuba,0.0,Syndra,Ambessa,Varus,Gwen,Lulu,Poppy,1901.0,1.0,3.0,5.0,4.0,20.0,15.0,0.0,0.0,0.0,0.0,0.0,0.6312,1.1047,0.0,0.0,6.0,4.0,0.0,18.0,13917.0,9763.0,308.1431,12800.0,301.0,299.0,2.0,9.5003,3665.0,5179.0,100.0,4023.0,4870.0,95.0,-358.0,309.0,5.0,0.0,0.0,1.0,1.0,1.0,0.0,5629.0,7733.0,149.0,6134.0,7615.0,143.0,-505.0,118.0,6.0,0.0,0.0,2.0,2.0,3.0,1.0,7691.0,10047.0,185.0,8462.0,11885.0,192.0,-771.0,-1838.0,-7.0,1.0,0.0,4.0,3.0,3.0,1.0,9690.0,13185.0,246.0,10143.0,14187.0,232.0,-453.0,-1002.0,14.0,1.0,0.0,4.0,3.0,5.0,1.0
LOLTMNT04_151156,complete,TCL,2026.0,0.0,1.0,16.02,Red,bot,raining,eSuba,0.0,Aphelios,Ambessa,Varus,Gwen,Lulu,Poppy,1901.0,1.0,4.0,1.0,6.0,20.0,15.0,0.0,0.0,0.0,0.0,0.0,0.6312,1.1047,1.0,0.0,16.0,8.0,5.0,39.0,17099.0,12945.0,408.5744,15825.0,356.0,344.0,12.0,11.2362,4062.0,3774.0,97.0,3228.0,3949.0,81.0,834.0,-175.0,16.0,1.0,0.0,0.0,0.0,0.0,1.0,6715.0,6262.0,156.0,5899.0,6474.0,139.0,816.0,-212.0,17.0,1.0,0.0,0.0,0.0,0.0,1.0,9974.0,9808.0,224.0,8044.0,9406.0,196.0,1930.0,402.0,28.0,2.0,0.0,0.0,0.0,1.0,2.0,12138.0,12343.0,280.0,10274.0,11855.0,248.0,1864.0,488.0,32.0,2.0,0.0,0.0,1.0,2.0,2.0
