gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_319631,complete,ROL,2026.0,0.0,1.0,16.01,Red,top,John P,mCon esports,0.0,Jayce,Aphelios,Rengar,Syndra,Nautilus,Rell,2151.0,0.0,2.0,4.0,1.0,9.0,26.0,0.0,0.0,0.0,0.0,0.0,0.251,0.9763,0.0,0.0,18.0,5.0,3.0,54.0,13209.0,8545.0,238.3543,12475.0,323.0,319.0,4.0,9.0098,3527.0,5149.0,100.0,3534.0,5213.0,96.0,-7.0,-64.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4975.0,8444.0,144.0,5737.0,9306.0,154.0,-762.0,-862.0,-10.0,0.0,0.0,1.0,1.0,0.0,0.0,7357.0,11617.0,195.0,8791.0,13606.0,203.0,-1434.0,-1989.0,-8.0,1.0,0.0,3.0,4.0,0.0,0.0,9007.0,14068.0,241.0,10768.0,16676.0,260.0,-1761.0,-2608.0,-19.0,1.0,1.0,3.0,4.0,2.0,0.0
LOLTMNT01_319631,complete,ROL,2026.0,0.0,1.0,16.01,Red,jng,Joekie,mCon esports,0.0,Diana,Aphelios,Rengar,Syndra,Nautilus,Rell,2151.0,0.0,2.0,8.0,2.0,9.0,26.0,1.0,0.0,0.0,0.0,1.0,0.251,0.9763,0.0,1.0,9.0,16.0,8.0,72.0,12753.0,8089.0,225.6346,11700.0,269.0,29.0,240.0,7.5035,3869.0,4527.0,91.0,4083.0,4186.0,70.0,-214.0,341.0,21.0,0.0,1.0,0.0,1.0,0.0,1.0,5822.0,7389.0,144.0,5925.0,6806.0,108.0,-103.0,583.0,36.0,0.0,1.0,0.0,1.0,1.0,1.0,8726.0,10721.0,190.0,9058.0,9828.0,138.0,-332.0,893.0,52.0,2.0,2.0,2.0,3.0,4.0,3.0,10072.0,12358.0,217.0,11889.0,13061.0,189.0,-1817.0,-703.0,28.0,2.0,2.0,4.0,4.0,6.0,3.0
LOLTMNT01_319631,complete,ROL,2026.0,0.0,1.0,16.01,Red,mid,Kruimel,mCon esports,0.0,Ryze,Aphelios,Rengar,Syndra,Nautilus,Rell,2151.0,0.0,1.0,5.0,3.0,9.0,26.0,0.0,0.0,0.0,0.0,0.0,0.251,0.9763,0.0,0.0,19.0,9.0,5.0,53.0,14484.0,9820.0,273.9191,14575.0,374.0,365.0,9.0,10.4324,3793.0,5389.0,94.0,3373.0,5122.0,88.0,420.0,267.0,6.0,1.0,0.0,1.0,0.0,1.0,0.0,5670.0,8428.0,155.0,5298.0,8203.0,148.0,372.0,225.0,7.0,1.0,0.0,1.0,0.0,1.0,0.0,7529.0,11120.0,200.0,7832.0,11332.0,196.0,-303.0,-212.0,4.0,1.0,0.0,2.0,2.0,2.0,2.0,9567.0,15819.0,266.0,9643.0,13110.0,227.0,-76.0,2709.0,39.0,1.0,1.0,2.0,3.0,3.0,2.0
LOLTMNT01_319631,complete,ROL,2026.0,0.0,1.0,16.01,Red,bot,Asza,mCon esports,0.0,Corki,Aphelios,Rengar,Syndra,Nautilus,Rell,2151.0,0.0,3.0,6.0,3.0,9.0,26.0,0.0,0.0,0.0,0.0,0.0,0.251,0.9763,0.0,0.0,13.0,5.0,1.0,29.0,15440.0,10776.0,300.5858,14725.0,308.0,304.0,4.0,8.5914,3259.0,3544.0,82.0,2915.0,3379.0,65.0,344.0,165.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,5945.0,5296.0,135.0,5048.0,5747.0,113.0,897.0,-451.0,22.0,0.0,1.0,0.0,0.0,0.0,0.0,9006.0,8090.0,187.0,8686.0,9588.0,179.0,320.0,-1498.0,8.0,1.0,3.0,2.0,1.0,4.0,0.0,11339.0,9883.0,237.0,10925.0,12120.0,226.0,414.0,-2237.0,11.0,2.0,3.0,3.0,2.0,5.0,0.0
LOLTMNT01_319631,complete,ROL,2026.0,0.0,1.0,16.01,Red,sup,Nightmares,mCon esports,0.0,Nami,Aphelios,Rengar,Syndra,Nautilus,Rell,2151.0,0.0,1.0,3.0,7.0,9.0,26.0,0.0,0.0,0.0,0.0,1.0,0.251,0.9763,0.0,0.0,41.0,8.0,6.0,100.0,8871.0,4207.0,117.3501,8090.0,20.0,20.0,0.0,0.5579,2805.0,2984.0,3.0,2204.0,2748.0,8.0,601.0,236.0,-5.0,1.0,1.0,0.0,0.0,1.0,1.0,4089.0,4654.0,8.0,3110.0,4023.0,13.0,979.0,631.0,-5.0,1.0,1.0,0.0,0.0,1.0,1.0,5608.0,7332.0,15.0,4533.0,5863.0,18.0,1075.0,1469.0,-3.0,1.0,4.0,1.0,0.0,5.0,1.0,6612.0,8488.0,16.0,5708.0,7238.0,20.0,904.0,1250.0,-4.0,1.0,5.0,1.0,0.0,7.0,2.0
LOLTMNT01_319631,complete,ROL,2026.0,0.0,1.0,16.01,Red,team,,mCon esports,0.0,,Aphelios,Rengar,Syndra,Nautilus,Rell,2151.0,0.0,9.0,26.0,16.0,9.0,26.0,1.0,0.0,0.0,0.0,1.0,0.251,0.9763,0.0,1.0,100.0,43.0,23.0,308.0,64757.0,41439.0,1155.8996,61565.0,,1037.0,257.0,36.0948,17253.0,21593.0,370.0,16109.0,20648.0,327.0,1144.0,945.0,43.0,2.0,3.0,1.0,1.0,2.0,2.0,26501.0,34211.0,586.0,25118.0,34085.0,536.0,1383.0,126.0,50.0,2.0,3.0,2.0,2.0,3.0,2.0,38226.0,48880.0,787.0,38900.0,50217.0,734.0,-674.0,-1337.0,53.0,6.0,9.0,10.0,10.0,15.0,6.0,46597.0,60616.0,977.0,48933.0,62205.0,922.0,-2336.0,-1589.0,55.0,7.0,12.0,13.0,13.0,23.0,7.0
LOLTMNT01_319644,complete,ROL,2026.0,0.0,1.0,16.01,Blue,top,John P,mCon esports,1.0,Rumble,Aatrox,Orianna,Gwen,Kai'Sa,Varus,2507.0,0.0,3.0,4.0,5.0,22.0,26.0,1.0,0.0,0.0,0.0,0.0,0.5265,1.1488,0.0,0.0,18.0,3.0,7.0,47.0,15556.0,10166.0,243.3028,14975.0,349.0,345.0,4.0,8.3526,3341.0,5472.0,87.0,3380.0,5411.0,91.0,-39.0,61.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,5118.0,9524.0,149.0,5009.0,9039.0,145.0,109.0,485.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6680.0,12390.0,195.0,6995.0,12431.0,200.0,-315.0,-41.0,-5.0,0.0,0.0,0.0,0.0,1.0,0.0,8402.0,14989.0,239.0,8911.0,15971.0,232.0,-509.0,-982.0,7.0,0.0,1.0,1.0,1.0,1.0,0.0
LOLTMNT01_319644,complete,ROL,2026.0,0.0,1.0,16.01,Blue,jng,Joekie,mCon esports,1.0,Jarvan IV,Aatrox,Orianna,Gwen,Kai'Sa,Varus,2507.0,0.0,4.0,7.0,15.0,22.0,26.0,0.0,0.0,0.0,0.0,0.0,0.5265,1.1488,0.0,3.0,7.0,14.0,6.0,61.0,14630.0,9240.0,221.1408,13600.0,233.0,27.0,206.0,5.5764,3869.0,4062.0,77.0,3608.0,3925.0,69.0,261.0,137.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,5736.0,6904.0,122.0,4961.0,5512.0,100.0,775.0,1392.0,22.0,1.0,1.0,0.0,1.0,0.0,0.0,7392.0,8891.0,154.0,7025.0,8784.0,142.0,367.0,107.0,12.0,1.0,1.0,2.0,1.0,2.0,0.0,9627.0,11479.0,181.0,8656.0,11495.0,169.0,971.0,-16.0,12.0,2.0,4.0,2.0,1.0,3.0,2.0
LOLTMNT01_319644,complete,ROL,2026.0,0.0,1.0,16.01,Blue,mid,Kruimel,mCon esports,1.0,Ziggs,Aatrox,Orianna,Gwen,Kai'Sa,Varus,2507.0,0.0,5.0,3.0,6.0,22.0,26.0,1.0,0.0,0.0,0.0,0.0,0.5265,1.1488,0.0,0.0,19.0,5.0,3.0,55.0,17649.0,12259.0,293.3945,15375.0,391.0,387.0,4.0,9.3578,3562.0,5038.0,95.0,3946.0,5336.0,95.0,-384.0,-298.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,5352.0,7929.0,151.0,5589.0,7955.0,146.0,-237.0,-26.0,5.0,0.0,0.0,2.0,1.0,0.0,1.0,6985.0,10887.0,201.0,8271.0,11248.0,206.0,-1286.0,-361.0,-5.0,0.0,0.0,2.0,3.0,0.0,1.0,8220.0,12539.0,229.0,10640.0,14155.0,246.0,-2420.0,-1616.0,-17.0,0.0,0.0,3.0,4.0,0.0,3.0
LOLTMNT01_319644,complete,ROL,2026.0,0.0,1.0,16.01,Blue,bot,Asza,mCon esports,1.0,Yunara,Aatrox,Orianna,Gwen,Kai'Sa,Varus,2507.0,0.0,9.0,8.0,12.0,22.0,26.0,0.0,0.0,0.0,0.0,0.0,0.5265,1.1488,0.0,0.0,14.0,13.0,2.0,42.0,22662.0,17272.0,413.3706,21550.0,409.0,385.0,24.0,9.7886,3581.0,3629.0,88.0,3693.0,3502.0,81.0,-112.0,127.0,7.0,0.0,1.0,1.0,1.0,1.0,1.0,7121.0,6447.0,151.0,5809.0,5243.0,125.0,1312.0,1204.0,26.0,3.0,1.0,1.0,1.0,1.0,3.0,9591.0,8966.0,214.0,8376.0,7998.0,191.0,1215.0,968.0,23.0,3.0,1.0,1.0,1.0,2.0,3.0,13471.0,11907.0,281.0,10459.0,10260.0,229.0,3012.0,1647.0,52.0,5.0,3.0,1.0,1.0,3.0,3.0
