gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_171038,complete,LIT,2026.0,0.0,1.0,16.01,Blue,bot,Rharesh,GMBLERS Esports,1.0,Corki,Zyra,Lillia,Wukong,Veigar,Viktor,1756.0,0.0,8.0,6.0,5.0,22.0,29.0,1.0,0.0,0.0,0.0,1.0,0.7517,1.7426,0.0,0.0,10.0,6.0,0.0,24.0,15036.0,11178.0,381.9362,14483.0,266.0,262.0,4.0,9.0888,4422.0,3726.0,87.0,3468.0,3609.0,65.0,954.0,117.0,22.0,3.0,0.0,1.0,2.0,0.0,2.0,8051.0,6707.0,124.0,6051.0,5455.0,92.0,2000.0,1252.0,32.0,7.0,1.0,3.0,4.0,3.0,3.0,10664.0,9257.0,176.0,8390.0,8152.0,140.0,2274.0,1105.0,36.0,8.0,3.0,4.0,4.0,6.0,3.0,13164.0,12089.0,232.0,10523.0,10163.0,194.0,2641.0,1926.0,38.0,8.0,3.0,4.0,4.0,6.0,4.0
LOLTMNT05_171038,complete,LIT,2026.0,0.0,1.0,16.01,Red,bot,Toti,EKO Esports,0.0,Sivir,Ambessa,Smolder,Syndra,Alistar,Orianna,1756.0,1.0,7.0,4.0,12.0,29.0,22.0,2.0,0.0,0.0,0.0,0.0,0.9909,1.7426,0.0,0.0,11.0,3.0,0.0,28.0,14821.0,10963.0,374.59,11800.0,229.0,229.0,0.0,7.8246,3468.0,3609.0,65.0,4422.0,3726.0,87.0,-954.0,-117.0,-22.0,2.0,0.0,2.0,3.0,0.0,1.0,6051.0,5455.0,92.0,8051.0,6707.0,124.0,-2000.0,-1252.0,-32.0,4.0,3.0,3.0,7.0,1.0,3.0,8390.0,8152.0,140.0,10664.0,9257.0,176.0,-2274.0,-1105.0,-36.0,4.0,6.0,3.0,8.0,3.0,4.0,10523.0,10163.0,194.0,13164.0,12089.0,232.0,-2641.0,-1926.0,-38.0,4.0,6.0,4.0,8.0,3.0,4.0
LOLTMNT05_172024,complete,LIT,2026.0,0.0,1.0,16.01,Blue,bot,Kyte,Deacoy,1.0,Corki,Orianna,Ambessa,Ryze,Aatrox,Darius,2243.0,1.0,4.0,1.0,6.0,14.0,15.0,0.0,0.0,0.0,0.0,0.0,0.3745,0.7757,0.0,0.0,20.0,9.0,6.0,52.0,17255.0,12404.0,331.8056,14883.0,326.0,320.0,6.0,8.7205,3198.0,3779.0,85.0,3361.0,3416.0,74.0,-163.0,363.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,5043.0,5994.0,126.0,6003.0,5900.0,118.0,-960.0,94.0,8.0,0.0,0.0,1.0,3.0,0.0,0.0,7186.0,8501.0,180.0,7837.0,8416.0,170.0,-651.0,85.0,10.0,0.0,0.0,1.0,3.0,0.0,0.0,9543.0,10849.0,231.0,10102.0,10468.0,210.0,-559.0,381.0,21.0,0.0,1.0,1.0,4.0,1.0,0.0
LOLTMNT05_172024,complete,LIT,2026.0,0.0,1.0,16.01,Red,bot,RaptoSauros,Zena Esports,0.0,Miss Fortune,Qiyana,Naafiri,Akali,Poppy,Xin Zhao,2243.0,0.0,8.0,2.0,2.0,15.0,14.0,1.0,0.0,0.0,0.0,0.0,0.4012,0.7757,0.0,0.0,16.0,4.0,3.0,33.0,14981.0,10130.0,270.9764,14875.0,274.0,274.0,0.0,7.3295,3361.0,3416.0,74.0,3198.0,3779.0,85.0,163.0,-363.0,-11.0,1.0,0.0,0.0,0.0,0.0,0.0,6003.0,5900.0,118.0,5043.0,5994.0,126.0,960.0,-94.0,-8.0,3.0,0.0,0.0,0.0,0.0,1.0,7837.0,8416.0,170.0,7186.0,8501.0,180.0,651.0,-85.0,-10.0,3.0,0.0,0.0,0.0,0.0,1.0,10102.0,10468.0,210.0,9543.0,10849.0,231.0,559.0,-381.0,-21.0,4.0,1.0,0.0,0.0,1.0,1.0
LOLTMNT05_171043,complete,LIT,2026.0,0.0,1.0,16.01,Blue,bot,Padawii,Axolotl,1.0,Ziggs,Zoe,Jarvan IV,Sion,Dr. Mundo,Malphite,1829.0,0.0,0.0,5.0,1.0,8.0,23.0,0.0,0.0,0.0,0.0,0.0,0.2624,1.0169,0.0,0.0,17.0,5.0,6.0,41.0,10574.0,6567.0,215.4292,9500.0,250.0,249.0,1.0,8.2012,3188.0,4190.0,79.0,3461.0,4229.0,101.0,-273.0,-39.0,-22.0,0.0,0.0,0.0,0.0,0.0,0.0,5023.0,6239.0,119.0,5758.0,7079.0,161.0,-735.0,-840.0,-42.0,0.0,0.0,2.0,0.0,1.0,0.0,7043.0,8702.0,166.0,7837.0,9963.0,223.0,-794.0,-1261.0,-57.0,0.0,1.0,2.0,0.0,1.0,0.0,8796.0,10742.0,212.0,10834.0,13099.0,276.0,-2038.0,-2357.0,-64.0,0.0,1.0,3.0,1.0,5.0,0.0
LOLTMNT05_171043,complete,LIT,2026.0,0.0,1.0,16.01,Red,bot,Showman,P11 Esports,0.0,Sivir,Sylas,Gwen,Urgot,Aatrox,Gnar,1829.0,1.0,3.0,0.0,9.0,23.0,8.0,0.0,0.0,0.0,0.0,0.0,0.7545,1.0169,0.0,0.0,13.0,6.0,1.0,32.0,13929.0,9922.0,325.4893,12675.0,307.0,303.0,4.0,10.0711,3461.0,4229.0,101.0,3188.0,4190.0,79.0,273.0,39.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,5758.0,7079.0,161.0,5023.0,6239.0,119.0,735.0,840.0,42.0,0.0,1.0,0.0,0.0,0.0,2.0,7837.0,9963.0,223.0,7043.0,8702.0,166.0,794.0,1261.0,57.0,0.0,1.0,0.0,0.0,1.0,2.0,10834.0,13099.0,276.0,8796.0,10742.0,212.0,2038.0,2357.0,64.0,1.0,5.0,0.0,0.0,1.0,3.0
LOLTMNT05_171051,complete,LIT,2026.0,0.0,1.0,16.01,Blue,bot,PiskHello,Colossal Gaming,1.0,Corki,Ambessa,Zaahen,Aatrox,Neeko,Nautilus,2336.0,1.0,8.0,1.0,7.0,18.0,7.0,1.0,0.0,0.0,0.0,1.0,0.4623,0.6421,0.0,0.0,16.0,15.0,2.0,47.0,20412.0,15371.0,394.8031,17433.0,427.0,406.0,21.0,10.9675,4036.0,3781.0,96.0,3344.0,4002.0,86.0,692.0,-221.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,6375.0,6495.0,165.0,5360.0,6306.0,140.0,1015.0,189.0,25.0,1.0,1.0,0.0,0.0,0.0,0.0,8614.0,8841.0,215.0,8375.0,9046.0,201.0,239.0,-205.0,14.0,2.0,1.0,0.0,2.0,0.0,0.0,10833.0,11377.0,272.0,10454.0,11442.0,262.0,379.0,-65.0,10.0,2.0,3.0,0.0,2.0,0.0,0.0
LOLTMNT05_171051,complete,LIT,2026.0,0.0,1.0,16.01,Red,bot,Tyrone,HMBLE,0.0,Yunara,Sion,Ornn,Kai'Sa,Syndra,Aurora,2336.0,0.0,2.0,2.0,3.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,0.1798,0.6421,0.0,0.0,14.0,13.0,3.0,44.0,16604.0,11563.0,296.9949,16275.0,407.0,391.0,16.0,10.4538,3344.0,4002.0,86.0,4036.0,3781.0,96.0,-692.0,221.0,-10.0,0.0,0.0,0.0,1.0,1.0,0.0,5360.0,6306.0,140.0,6375.0,6495.0,165.0,-1015.0,-189.0,-25.0,0.0,0.0,0.0,1.0,1.0,0.0,8375.0,9046.0,201.0,8614.0,8841.0,215.0,-239.0,205.0,-14.0,2.0,0.0,0.0,2.0,1.0,0.0,10454.0,11442.0,262.0,10833.0,11377.0,272.0,-379.0,65.0,-10.0,2.0,0.0,0.0,2.0,3.0,0.0
LOLTMNT05_171066,complete,LIT,2026.0,0.0,1.0,16.01,Blue,bot,Tyrone,HMBLE,1.0,Lucian,Zoe,Sion,Jayce,Galio,Ahri,1451.0,1.0,2.0,0.0,6.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.703,0.827,0.0,0.0,14.0,5.0,5.0,42.0,10567.0,7331.0,303.1427,9325.0,238.0,238.0,0.0,9.8415,3548.0,3956.0,101.0,3350.0,3642.0,85.0,198.0,314.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,5552.0,6545.0,150.0,5401.0,5625.0,133.0,151.0,920.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,7546.0,9218.0,203.0,7692.0,8199.0,184.0,-146.0,1019.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,10567.0,12461.0,238.0,8863.0,9574.0,212.0,1704.0,2887.0,26.0,2.0,6.0,0.0,1.0,0.0,2.0
LOLTMNT05_171066,complete,LIT,2026.0,0.0,1.0,16.01,Red,bot,Showman,P11 Esports,0.0,Corki,Azir,Taliyah,Zaahen,Yunara,Alistar,1451.0,0.0,1.0,2.0,0.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.1241,0.827,0.0,0.0,9.0,4.0,0.0,19.0,8863.0,5627.0,232.6809,8683.0,212.0,212.0,0.0,8.7664,3350.0,3642.0,85.0,3548.0,3956.0,101.0,-198.0,-314.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,5401.0,5625.0,133.0,5552.0,6545.0,150.0,-151.0,-920.0,-17.0,0.0,0.0,0.0,0.0,0.0,0.0,7692.0,8199.0,184.0,7546.0,9218.0,203.0,146.0,-1019.0,-19.0,1.0,0.0,0.0,0.0,0.0,0.0,8863.0,9574.0,212.0,10567.0,12461.0,238.0,-1704.0,-2887.0,-26.0,1.0,0.0,2.0,2.0,6.0,0.0
